AS_home_advan,AS_sur_hard,AS_sur_clay,AS_sur_grass,AS_tournie_level,AS_left_hand_advan,AS_age,AS_fatigue,AS_rank_points,AS_serve.returnpt,AS_return.servept,AS_serve.returng,AS_return.serveg,AS_serve.returnpt_os,AS_return.servept_os,AS_serve.returng_os,AS_return.serveg_os,AS_serve.returnpt_hth,AS_return.servept_hth,AS_serve.returng_hth,AS_return.serveg_hth,AS_serve.returnpt_hth_os,AS_return.servept_hth_os,AS_serve.returng_hth_os,AS_return.serveg_hth_os,AS_serve.returnpt_co,AS_return.servept_co,AS_serve.returng_co,AS_return.serveg_co,AS_serve.returnpt_co_os,AS_return.servept_co_os,AS_serve.returng_co_os,AS_return.serveg_co_os,AS_matchw,AS_matchw_os,AS_hth_matchw,AS_hth_matchw_os,AS_matchw_co,AS_matchw_co_os,AS_tbw,AS_rank,AS_win_lose_binary
0,1,0,0,0,0,4.93908282,-82,1025,0.653307006,0.363011829,0.802713129,0.231326748,0.66596822,0.349769142,0.823583823,0.203905033,0.660288675,0.36938128,0.792968143,0.225653976,0.686027443,0.369726968,0.856118881,0.241258742,0.65153003,0.368344817,0.79469437,0.233491455,0.67299958,0.347766448,0.840504639,0.198641239,0.536949748,0.543100165,0.666666667,0.75,0.513612125,0.505761844,0.489922481,1,0
0,1,0,0,0,0,-17.01026694,96,-2190,0.63078857,0.327476631,0.757701237,0.183537103,0.631827224,0.319302524,0.749289574,0.16635705,0.677696955,0.232983683,0.866666667,0.013888889,0.677696955,0.232983683,0.866666667,0.013888889,0.630097523,0.322641623,0.755846955,0.179327401,0.633437537,0.322374864,0.748839173,0.18142072,0.433867653,0.433819352,0.333333333,0.333333333,0.4124308,0.442610928,0.469317357,-3,1
0,1,0,0,0,0,-3.62765229,-32,-2080,0.634085133,0.372194308,0.761999716,0.246485364,0.647141728,0.363660598,0.79112169,0.227836795,0.631720154,0.311596403,0.738095238,0.138095238,0.611764706,0.341772152,0.714285714,0.214285714,0.636283004,0.370815102,0.775085821,0.238125499,0.649683221,0.354769444,0.800744207,0.19670155,0.484239286,0.47826087,0.333333333,0,0.493670886,0.462287105,0.528888889,-2,0
0,1,0,0,0,1,9.69199178,76,3880,0.640715353,0.400551446,0.761889098,0.325069681,0.640161746,0.37884585,0.758531286,0.282593337,0.713768116,0.439952904,0.907407408,0.401098901,0.713768116,0.439952904,0.907407408,0.401098901,0.651147947,0.40556512,0.775532544,0.332351222,0.65400946,0.3648725,0.78006818,0.258658518,0.567441257,0.551176793,1,1,0.578279267,0.538827258,0.503115265,3,1
0,1,0,0,0,-1,-12.19164955,91,-5585,0.602340574,0.336795043,0.678195059,0.188521008,0.622240637,0.32527837,0.715890693,0.169782157,0.554256687,0.286964808,0.593632479,0.105714286,0.583746898,0.203623814,0.6,0.05,0.598706058,0.337336966,0.669265734,0.195783069,0.622824033,0.348278075,0.719836103,0.212180952,0.414700176,0.407947951,0.2,0,0.420371412,0.48630137,0.464981949,-5,0
0,1,0,0,0,-1,-10.88021902,151,-6640,0.597929592,0.360853371,0.668007523,0.234671034,0.615901962,0.352371663,0.704389865,0.217137917,0.527956146,0.296296296,0.540945166,0.138888889,0.604651163,0.3,0.791666667,0.083333333,0.596059793,0.356508901,0.662054114,0.234220297,0.626949142,0.340341213,0.738968749,0.191961454,0.430797434,0.418771127,0,0,0.434092112,0.431034483,0.485962226,-6,1
0,1,0,0,0,0,-1.18822724,73,-2760,0.627312629,0.374320414,0.742434072,0.249665105,0.627847825,0.363339935,0.738784989,0.230116826,0.702749105,0.386316316,0.821428572,0.238194444,0.702749105,0.386316316,0.821428572,0.238194444,0.624675399,0.377387783,0.735185195,0.259534499,0.62538251,0.35665629,0.724715544,0.215346219,0.496066618,0.469026549,0.75,0.75,0.502970809,0.456175299,0.485148515,-3,1
0,1,0,0,0,0,1.31143053,0,-1055,0.651819688,0.371294331,0.797956707,0.246476989,0.665656898,0.3618514,0.819341095,0.230212927,0.639562909,0.397878788,0.792424242,0.247497294,0.637472767,0.424444444,0.78989899,0.306186869,0.656818057,0.372995394,0.801413963,0.255115653,0.675571268,0.354096895,0.830296716,0.219711024,0.520138414,0.519207485,0.25,0.333333333,0.543251694,0.529069767,0.515834348,-1,0
0,1,0,0,0,0,5.78507871,-52,-2755,0.6313009,0.358322239,0.73536473,0.232949794,0.63179432,0.357743943,0.743714535,0.239799345,0.64846788,0.293839568,0.870588235,0.120479303,0.630337289,0.260394056,0.85,0.077777778,0.628290357,0.352494973,0.722025074,0.219466011,0.636895289,0.352617117,0.751542567,0.226438243,0.499151104,0.493698125,0,0,0.503770372,0.515748031,0.494382022,-1,1
0,1,0,0,0,0,6.28610541,-37,3920,0.647269515,0.389039256,0.777535047,0.283196654,0.659550476,0.38432577,0.805596895,0.271547375,0.606079388,0.424908345,0.721794872,0.311375661,0,0,0,0,0.642712002,0.387628344,0.777440625,0.286328908,0.657257206,0.378804192,0.81095071,0.255656649,0.534254808,0.538592993,0.4,0,0.533333333,0.546906188,0.546025105,3,0
0,1,0,0,0,0,8.89253936,-78,6275,0.672328688,0.382751982,0.83377766,0.276156323,0.681329935,0.381310714,0.848706537,0.266343708,0,0,0,0,0,0,0,0,0.681080767,0.389743842,0.861030182,0.282892317,0.68849865,0.382688532,0.871995661,0.26954035,0.585376728,0.633074935,0,0,0.655804481,0.672727273,0.558669002,6,1
0,1,0,0,0,0,12.07118412,78,1165,0.654757107,0.370650813,0.783041809,0.24373536,0.662025692,0.370966871,0.808385969,0.25088546,0.727691871,0.356493413,0.891666667,0.237037037,0.742481203,0.399323454,0.9,0.288888889,0.659886588,0.363147412,0.800682374,0.222962119,0.663110269,0.373575045,0.813478333,0.249046628,0.534676382,0.534178539,0.333333333,0.5,0.534581383,0.548926014,0.539446721,2,0
0,1,0,0,0,0,14.67761807,0,3520,0.679121873,0.365359116,0.836725841,0.239336005,0.682715761,0.369602289,0.847835507,0.249705924,0.819672131,0.5,1,0.545454545,0,0,0,0,0.691397693,0.366503205,0.861302562,0.235003419,0.701540436,0.362730503,0.875120332,0.235021782,0.582639715,0.622641509,1,0,0.642072214,0.662337662,0.545454545,5,1
0,1,0,0,0,0,-3.9835729,97,-8068,0.603542565,0.344089033,0.710473978,0.205238916,0.609097541,0.341510159,0.724664172,0.205069358,0.59222561,0.295617174,0.697115385,0.107142857,0.62195122,0.360465116,0.769230769,0.214285714,0.595230451,0.339095012,0.694377322,0.193734961,0.607158072,0.333677123,0.728449375,0.18854606,0.401897483,0.419142998,0,0,0.344497608,0.372093023,0.398703404,-26,0
-1,1,0,0,0,1,-12.61875428,38,-890,0.632604867,0.350340204,0.75453125,0.189778626,0.630657412,0.35082345,0.746585948,0.19533153,0.627777778,0.333333333,0.75862069,0.172413793,0.627777778,0.333333333,0.75862069,0.172413793,0.632903255,0.339146458,0.761755067,0.167956185,0.634257939,0.349683861,0.753341647,0.186314906,0.4545053,0.452106131,0,0,0.442553191,0.490304709,0.486815416,-15,1
0,1,0,0,0,0,7.633128,-51,8835,0.659519278,0.391053856,0.802293796,0.284843605,0.668514606,0.386693934,0.819468692,0.270806963,0.666747432,0.390346829,0.819285977,0.241906242,0.623376623,0.397435897,0.818181818,0.272727273,0.676192951,0.39345263,0.840661997,0.292470669,0.686606596,0.385975698,0.865730452,0.265652532,0.60483871,0.604357565,0.666666667,1,0.626923077,0.62987013,0.611650485,74,1
0,1,0,0,0,0,-2.30253251,-24,4018,0.645851135,0.373311792,0.789882148,0.240281708,0.648668695,0.361792241,0.792382977,0.210186742,0.640377255,0.34113893,0.78125,0.18382353,0.64516129,0.329896907,0.8125,0.117647059,0.644101106,0.365346951,0.788509207,0.214199578,0.657478048,0.347767555,0.800628413,0.17069124,0.574347333,0.556962025,0.5,0,0.598290598,0.58974359,0.568143952,22,0
0,1,0,0,0,1,-1.98494182,46,-2875,0.624181715,0.343093055,0.748358933,0.187990119,0.633596342,0.344893171,0.767565772,0.197271284,0.546583851,0.264285714,0.641414142,0.045454546,0.571428571,0.314285714,0.727272727,0.090909091,0.622139034,0.341302622,0.744100512,0.181270666,0.640102099,0.332615056,0.785939461,0.177786164,0.440711879,0.470402802,0,0,0.444805195,0.496402878,0.421974522,-22,1
-1,1,0,0,0,0,-3.19507187,99,-1328,0.613945334,0.363890582,0.733664636,0.218448251,0.61052501,0.358664883,0.722364873,0.210483925,0,0,0,0,0,0,0,0,0.599543118,0.358450568,0.705722767,0.214527114,0.600658227,0.341045325,0.704963615,0.169409924,0.414276998,0.395833333,0,0,0.397938144,0.375,0.545454545,-37,0
