AS_home_advan,AS_tournie_level,AS_left_hand_advan,AS_age,AS_fatigue,AS_rank_points,AS_serve.returnpt,AS_return.servept,AS_serve.returng,AS_return.serveg,AS_serve.returnpt_os,AS_return.servept_os,AS_serve.returng_os,AS_return.serveg_os,AS_serve.returnpt_hth,AS_return.servept_hth,AS_serve.returng_hth,AS_return.serveg_hth,AS_serve.returnpt_hth_os,AS_return.servept_hth_os,AS_serve.returng_hth_os,AS_return.serveg_hth_os,AS_serve.returnpt_co,AS_return.servept_co,AS_serve.returng_co,AS_return.serveg_co,AS_serve.returnpt_co_os,AS_return.servept_co_os,AS_serve.returng_co_os,AS_return.serveg_co_os,AS_matchw,AS_matchw_os,AS_hth_matchw,AS_hth_matchw_os,AS_matchw_co,AS_matchw_co_os,AS_tbw,AS_rank,V41.1,V42,V43,AS_win_lose_binary
0,0,0,-6.68035592,0,-102,0.632759127,0.344401918,0.777397567,0.198087106,0.623051195,0.348909709,0.758686035,0.195338156,0,0,0,0,0,0,0,0,0.599702934,0.407911681,0.681757951,0.279236277,0.599702934,0.407911681,0.681757951,0.279236277,0.357798165,0.35359116,0,0,0.666666667,0.666666667,0.28,-7,1,0,0,1
0,0,0,-7.30732375,72,-510,0.628977914,0.383475531,0.769796669,0.244489411,0.614672545,0.391699288,0.746099169,0.239006314,0,0,0,0,0,0,0,0,0.608541682,0.377642111,0.736952185,0.224074156,0.607163253,0.392514232,0.752196193,0.212829994,0.521043367,0.52739726,0,0,0.447154472,0.6,0.495495495,-40,0,1,0,0
0,1,0,-4.28747433,0,129,0.627167864,0.343504384,0.80647542,0.198939979,0.629056598,0.342781942,0.816752704,0.189726424,0,0,0,0,0,0,0,0,0.636276592,0.318370133,0.872466409,0.165568227,0.636276592,0.318370133,0.872466409,0.165568227,0.37037037,0.375,0,0,0,0,0.322580645,29,1,0,0,0
-1,0,0,-2.67214237,73,-50,0.651568349,0.362311839,0.799951246,0.216623756,0.641301241,0.35657394,0.77082661,0.206828079,0,0,0,0,0,0,0,0,0.639081638,0.356060885,0.769951102,0.189521011,0.63907005,0.35950339,0.759248269,0.218297358,0.518963923,0.498680739,0,0,0.441176471,0.518518518,0.5625,-3,1,0,0,0
0,1,0,-4.88158795,0,26,0.617849192,0.39898545,0.767983052,0.25929012,0.612832851,0.401292664,0.75927004,0.259741131,0,0,0,0,0,0,0,0,0.630406958,0.396866459,0.797404216,0.21876376,0.625966045,0.403455242,0.774364356,0.202072539,0.536566589,0.549019608,0,0,0.444444445,0.5,0.690140845,3,1,0,0,0
0,1,-1,3.1321013,0,29,0.64573806,0.367663544,0.801909439,0.232918518,0.61932048,0.376103463,0.751880762,0.213549369,0,0,0,0,0,0,0,0,0.65896031,0.378567079,0.85159121,0.242031142,0.633756164,0.382177949,0.758620689,0.25,0.527777778,0.421768707,0,0,0.622641509,0.5,0.57591623,6,0,1,0,0
0,1,0,4.03285421,16,791,0.65047829,0.388889512,0.803818606,0.280183127,0.62823915,0.409352703,0.771515891,0.327834702,0,0,0,0,0,0,0,0,0.647163254,0.389536852,0.792895136,0.277840627,0.614640114,0.458230731,0.752374693,0.415482281,0.591029024,0.589805825,0,0,0.617486338,0.714285714,0.634655532,66,0,1,0,0
1,0,0,-0.99657768,0,32,0.6347217,0.375278615,0.779569718,0.247802601,0.6361647,0.38458124,0.78133746,0.267350788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554455446,0.564315353,0,0,0,0,0.5,9,1,0,0,1
0,0,0,3.54825462,-230,-962,0.635627285,0.365675028,0.791641363,0.242935574,0.633676589,0.371771165,0.786500871,0.251968617,0,0,0,0,0,0,0,0,0.634106108,0.342339385,0.802177525,0.171892628,0.617373967,0.342943316,0.774501123,0.179665514,0.461077845,0.472972973,0,0,0.294117647,0.266666666,0.589928058,-140,1,0,0,1
0,0,1,2.00958248,59,-525,0.616667603,0.384845099,0.727051686,0.242515338,0.614879517,0.376328372,0.725418233,0.227330752,0,0,0,0,0,0,0,0,0.618720952,0.394692859,0.735569401,0.280292889,0.618724887,0.385556846,0.759420578,0.264730466,0.47826087,0.413131686,0,0,0.590909091,0.565217391,0.485773768,-32,1,0,0,0
0,0,0,-5.45379876,0,320,0.65075805,0.361257638,0.815958131,0.218600031,0.653431887,0.370606368,0.820741476,0.236184776,0,0,0,0,0,0,0,0,0.643727324,0.345223676,0.805018554,0.155123834,0.654889104,0.348266418,0.822380652,0.175926986,0.555555556,0.587378641,0,0,0.428571429,0.5,0.648590022,38,1,0,0,1
0,0,0,-10.9322382,0,-1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-231,0,1,0,0
0,1,0,-3.44421629,0,-72,0.643599736,0.320792292,0.790448142,0.137088104,0.639932543,0.32111002,0.780140001,0.136573127,0.706896552,0.237113402,0.882352941,0.058823529,0,0,0,0,0.636459399,0.314059806,0.775202391,0.121715323,0.630176842,0.31216792,0.742869347,0.110540054,0.442984315,0.44305595,0,0,0.407407407,0.386138614,0.553822746,-6,1,0,0,1
0,0,0,8.6625599,-14,-1311,0.610674502,0.359243722,0.744346687,0.203495332,0.612058297,0.39590112,0.756461525,0.270066751,0,0,0,0,0,0,0,0,0.585987261,0.171052632,0.652173913,0,0,0,0,0,0.367588933,0.506493507,0,0,0,0,0,-273,1,0,0,0
0,0,0,0.79397673,0,-1400,0.646748612,0.330430771,0.775077152,0.173375033,0.612862281,0.330732568,0.740030136,0.180110578,0,0,0,0,0,0,0,0,0.650209175,0.331087315,0.778611244,0.176760114,0,0,0,0,0.508264463,0.4,0,0,0.521276596,0,0.509360035,-22,0,1,0,1
-1,0,0,10.51882272,0,112,0.668621714,0.338937805,0.851816858,0.163776975,0.673332212,0.335031164,0.860287294,0.16769611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518518519,0.567567568,0,0,0,0,0.5,45,1,0,0,0
0,1,0,-5.67008898,-21,-1615,0.70596648,0.323847356,0.887734835,0.167421391,0.707827872,0.303446189,0.870803636,0.124853826,0.767123288,0.263157895,1,0,0,0,0,0,0.708046415,0.32466298,0.883257589,0.158069867,0,0,0,0,0.528377883,0.506493507,1,0,0.492442711,0,0.501606187,-22,0,0,1,0
0,0,0,-0.93086927,-15,209,0.620556469,0.397542129,0.750901911,0.264861888,0.593996087,0.399207847,0.704154677,0.269495622,0,0,0,0,0,0,0,0,0.587136325,0.419023938,0.684762939,0.319502075,0.587136325,0.419023938,0.684762939,0.319502075,0.6,0.5078125,0,0,0.666666667,0.666666667,0.746666667,31,0,1,0,0
1,1,0,-3.22518823,0,-27,0.628641419,0.345288851,0.761872208,0.152416722,0.633413796,0.348184378,0.776075778,0.153751499,0,0,0,0,0,0,0,0,0.645884827,0.347119676,0.840412289,0.136950439,0.66192125,0.347800402,0.848803978,0.120867,0.505434783,0.506578947,0,0,0.703703703,0.615384615,0.52356021,-3,1,0,0,0
0,0,1,-2.30800822,-133,-682,0.616084025,0.353271417,0.741928965,0.19940823,0.597526911,0.359329323,0.700199116,0.218746065,0,0,0,0,0,0,0,0,0.603632283,0.368234935,0.716461149,0.230141406,0.602813361,0.366038149,0.756077462,0.199585015,0.435429847,0.416216216,0,0,0.214285714,0,0.52892562,-76,0,1,0,0
0,0,0,-0.91991787,-2,1426,0.624530538,0.375412962,0.750506966,0.247754717,0.617045575,0.385903685,0.760768354,0.282947579,0,0,0,0,0,0,0,0,0.632508571,0.39291118,0.774067444,0.292953733,0.624608483,0.389238933,0.793625535,0.310760672,0.592777086,0.558823529,0,0,0.711538461,0.666666667,0.818181819,73,0,1,0,0
0,0,-1,-2.09445586,-33,400,0.633070912,0.393656035,0.768723284,0.284381778,0.62572842,0.396710713,0.759847993,0.302021484,0,0,0,0,0,0,0,0,0.631298787,0.399403437,0.753891234,0.28470746,0.59896033,0.412462267,0.706439752,0.323437561,0.5307393,0.5,0,0,0.487804878,0.4,0.533980582,63,0,1,0,1
0,1,0,-5.88637919,-80,946,0.647580697,0.38290136,0.808804239,0.25760423,0.642091319,0.383385022,0.803395594,0.260777632,0,0,0,0,0,0,0,0,0.651138245,0.38239957,0.816345856,0.247739768,0.650475032,0.353312329,0.824537098,0.172063566,0.555170708,0.547826087,0,0,0.571428572,0.5,0.680743243,65,1,0,0,1
0,0,0,-14.54893909,0,-583,0.636226137,0.368366413,0.795478549,0.269581642,0,0,0,0,0,0,0,0,0,0,0,0,0.670377566,0.381234968,0.860798363,0.300052618,0,0,0,0,0.361502347,0,0,0,0.5,0,0.484375,-335,0,1,0,0
0,0,1,-0.87063655,-5,743,0.655568127,0.348048715,0.79739679,0.181745359,0.643217495,0.360146377,0.778337156,0.194944648,0.708001768,0.30332871,0.94117647,0.123161765,0,0,0,0,0.680402179,0.347449016,0.855427431,0.17251388,0.666177696,0.356695852,0.841513951,0.181743058,0.566676064,0.526834612,1,0,0.687203791,0.617021276,0.464745239,60,1,0,0,1
0,0,0,8.89527721,-156,1078,0.662351232,0.396093674,0.833141946,0.292941369,0.638314811,0.410199488,0.791184822,0.340239185,0.753623188,0.47706422,1,0.461538462,0,0,0,0,0.659009207,0.373074004,0.790648988,0.290990308,0,0,0,0,0.5625,0.586206896,1,0,0.5,0,0.527777778,130,0,1,0,0
