"","AS_home_advan","AS_tournie_level","AS_left_hand_advan","AS_age","AS_fatigue","AS_rank_points","AS_serve.returnpt","AS_return.servept","AS_serve.returng","AS_return.serveg","AS_serve.returnpt_os","AS_return.servept_os","AS_serve.returng_os","AS_return.serveg_os","AS_serve.returnpt_hth","AS_return.servept_hth","AS_serve.returng_hth","AS_return.serveg_hth","AS_serve.returnpt_hth_os","AS_return.servept_hth_os","AS_serve.returng_hth_os","AS_return.serveg_hth_os","AS_serve.returnpt_co","AS_return.servept_co","AS_serve.returng_co","AS_return.serveg_co","AS_serve.returnpt_co_os","AS_return.servept_co_os","AS_serve.returng_co_os","AS_return.serveg_co_os","AS_matchw","AS_matchw_os","AS_hth_matchw","AS_hth_matchw_os","AS_matchw_co","AS_matchw_co_os","AS_tbw","AS_win_lose_binary","surface.LR.","AS_rank","V41"
"729",0,0,0,-6.68035592,0,-102,0.632759127497349,0.344401918032614,0.777397566703269,0.198087106470653,0.623051195028277,0.348909709115105,0.758686035187251,0.195338156482505,0,0,0,0,0,0,0,0,0.599702933681126,0.40791168140068,0.681757950743315,0.279236276786997,0.599702933681126,0.40791168140068,0.681757950743315,0.279236276786997,0.357798165137615,0.353591160220994,0,0,0.666666666666667,0.666666666666667,0.28,1,"Hard",-7,1.97
"878",0,0,0,-7.30732375,72,-510,0.628977914251278,0.383475531328993,0.769796669366323,0.2444894106259,0.614672545351647,0.391699288260834,0.746099168650182,0.239006314198815,0,0,0,0,0,0,0,0,0.608541681648861,0.377642111453366,0.736952184910884,0.224074156460932,0.607163252514722,0.392514232420976,0.752196193242724,0.212829994037044,0.52104336693871,0.527397260273973,0,0,0.447154471544715,0.6,0.495495495495495,0,"Clay",-40,1.97
"485",0,1,0,-4.28747433,0,129,0.627167864300043,0.343504384456334,0.806475419930865,0.198939979256069,0.629056598414463,0.342781941577803,0.816752703766726,0.189726424478535,0,0,0,0,0,0,0,0,0.636276592331295,0.318370133451244,0.872466408681209,0.165568227469131,0.636276592331295,0.318370133451244,0.872466408681209,0.165568227469131,0.37037037037037,0.375,0,0,0,0,0.32258064516129,0,"Hard",29,1.58
"5922",-1,0,0,-2.67214237,73,-50,0.651568349269156,0.362311839486269,0.79995124643362,0.216623756127877,0.641301241057777,0.356573939715443,0.77082660957957,0.20682807944382,0,0,0,0,0,0,0,0,0.639081637892806,0.356060885032595,0.769951101512232,0.189521011251203,0.639070050084768,0.359503390200249,0.759248269219147,0.218297357738333,0.518963922601494,0.49868073861009,0,0,0.441176471,0.518518518222222,0.562500000061523,0,"Hard",-3,2.03
"7018",0,1,0,-4.88158795,0,26,0.617849192080773,0.398985450391266,0.767983052186802,0.259290119931736,0.612832850863239,0.401292664084984,0.759270040347256,0.259741130838188,0,0,0,0,0,0,0,0,0.630406957518813,0.396866458775633,0.79740421565216,0.218763760446553,0.62596604521342,0.403455242146467,0.774364355915838,0.202072539351795,0.536566589286303,0.54901960762649,0,0,0.444444444790123,0.5,0.690140844734378,0,"Hard",3,3.83
"6526",0,1,-1,3.1321013,0,29,0.645738060288403,0.367663544399942,0.801909439479132,0.232918518035766,0.61932048044822,0.376103463455967,0.751880762037523,0.213549369172035,0,0,0,0,0,0,0,0,0.658960310034471,0.3785670791076,0.851591210018039,0.242031141943085,0.633756164267437,0.382177949147707,0.75862068924825,0.25,0.527777777594136,0.421768707382572,0,0,0.622641509075116,0.5,0.575916230443381,0,"Clay",6,1.51
"4012",0,1,0,4.03285421,16,791,0.650478290393313,0.388889511845957,0.803818605501527,0.280183127457876,0.62823915006457,0.409352703427864,0.7715158912145,0.327834701571828,0,0,0,0,0,0,0,0,0.647163253932386,0.389536852405903,0.792895136210719,0.277840627123826,0.614640113631019,0.458230730987667,0.752374692693345,0.415482280734267,0.59102902366873,0.589805825377127,0,0,0.617486338418526,0.714285714285714,0.634655532420099,0,"Clay",66,3.3
"5071",1,0,0,-0.996577680000001,0,32,0.634721699763572,0.375278614702626,0.779569718034293,0.247802600768017,0.636164699602645,0.38458124048381,0.781337460120275,0.267350787685525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554455445721008,0.564315352841721,0,0,0,0,0.5,1,"Hard",9,1.33
"2849",0,0,0,3.54825462,-230,-962,0.635627285419117,0.365675027512348,0.791641362902647,0.24293557421456,0.633676589058818,0.37177116466301,0.786500871004708,0.251968617128928,0,0,0,0,0,0,0,0,0.634106108146497,0.342339384580006,0.802177524945443,0.171892627894501,0.617373966981571,0.342943316011193,0.774501123422702,0.179665514474312,0.461077844695937,0.472972973108565,0,0,0.294117647058824,0.2666666664,0.589928057751307,1,"Hard",-140,2.61
"2900",0,0,1,2.00958248,59,-525,0.616667603472402,0.384845098971931,0.727051686139674,0.242515337706241,0.61487951685453,0.376328372335945,0.7254182327136,0.227330752017322,0,0,0,0,0,0,0,0,0.618720952095533,0.394692859391458,0.735569401212521,0.2802928890839,0.618724887119152,0.385556846058037,0.759420577572151,0.264730466467994,0.478260869773157,0.41313168559514,0,0,0.590909091002066,0.565217391251418,0.485773768238209,0,"Hard",-32,1.68
"7075",0,0,0,-5.45379876,0,320,0.650758050416901,0.361257638038291,0.815958131203225,0.218600030880242,0.653431886583099,0.370606368080138,0.820741476294624,0.236184776291735,0,0,0,0,0,0,0,0,0.643727323651584,0.345223675561495,0.805018554203456,0.155123833757046,0.654889103777817,0.348266418031706,0.822380652362447,0.175926986473301,0.555555555555556,0.5873786407106,0,0,0.428571428571429,0.5,0.648590021520546,1,"Hard",38,1.38
"6470",0,0,0,-10.9322382,0,-1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clay",-231,1.17
"2378",0,1,0,-3.44421629,0,-72,0.643599735997742,0.32079229212492,0.790448142021354,0.137088103982726,0.639932543083508,0.321110020188565,0.780140001000577,0.136573127325591,0.706896552,0.237113402,0.882352941,0.058823529,0,0,0,0,0.636459399049621,0.314059805925544,0.77520239093376,0.121715323157947,0.630176842090388,0.312167919941195,0.742869347232085,0.110540053918973,0.442984315387876,0.443055950014201,0,0,0.407407407407407,0.386138613861386,0.553822746291366,1,"Hard",-6,2.69
"4650",0,0,0,8.6625599,-14,-1311,0.610674502077014,0.359243722053844,0.744346687126756,0.203495331728482,0.612058296687731,0.395901119709253,0.756461525164887,0.270066751446834,0,0,0,0,0,0,0,0,0.585987261057893,0.17105263178376,0.652173913270321,0,0,0,0,0,0.367588932922558,0.506493506585596,0,0,0,0,0,0,"Hard",-273,1.11
"1446",0,0,0,0.793976730000001,0,-1400,0.64674861241113,0.330430771486947,0.775077152033816,0.173375032594214,0.612862280735794,0.330732567696364,0.74003013570429,0.180110577650709,0,0,0,0,0,0,0,0,0.650209175115802,0.331087315225366,0.778611244181127,0.176760113512528,0,0,0,0,0.508264462809917,0.4,0,0,0.521276595744681,0,0.509360034828037,1,"Clay",-22,3.01
"2159",-1,0,0,10.51882272,0,112,0.668621714491924,0.338937804521602,0.851816857565965,0.163776975339783,0.673332212230898,0.335031164139638,0.860287294409761,0.167696109980262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518518518518519,0.567567567567568,0,0,0,0,0.5,0,"Hard",45,1.69
"3476",0,1,0,-5.67008898,-21,-1615,0.705966479963761,0.323847356195665,0.887734835018867,0.167421390937285,0.707827871669146,0.30344618902224,0.870803636453239,0.124853826367355,0.767123288,0.263157895,1,0,0,0,0,0,0.708046414529913,0.324662980136916,0.88325758881879,0.158069866511869,0,0,0,0,0.528377883367174,0.506493506501838,1,0,0.492442710664786,0,0.501606186672823,0,"Grass",-22,2.27
"1948",0,0,0,-0.930869269999999,-15,209,0.620556468530736,0.397542128934103,0.750901911274112,0.264861888008307,0.593996087084074,0.399207846865755,0.704154677355923,0.269495622264342,0,0,0,0,0,0,0,0,0.587136324863331,0.419023938353717,0.684762938677068,0.319502074638798,0.587136324863331,0.419023938353717,0.684762938677068,0.319502074638798,0.6,0.5078125,0,0,0.666666666666667,0.666666666666667,0.746666666666667,0,"Clay",31,2.15
