"","AS_home_advan","AS_tournie_level","AS_left_hand_advan","AS_age","AS_fatigue","AS_rank_points","AS_serve.returnpt","AS_return.servept","AS_serve.returng","AS_return.serveg","AS_serve.returnpt_os","AS_return.servept_os","AS_serve.returng_os","AS_return.serveg_os","AS_serve.returnpt_hth","AS_return.servept_hth","AS_serve.returng_hth","AS_return.serveg_hth","AS_serve.returnpt_hth_os","AS_return.servept_hth_os","AS_serve.returng_hth_os","AS_return.serveg_hth_os","AS_serve.returnpt_co","AS_return.servept_co","AS_serve.returng_co","AS_return.serveg_co","AS_serve.returnpt_co_os","AS_return.servept_co_os","AS_serve.returng_co_os","AS_return.serveg_co_os","AS_matchw","AS_matchw_os","AS_hth_matchw","AS_hth_matchw_os","AS_matchw_co","AS_matchw_co_os","AS_tbw","AS_win_lose_binary","surface.LR.","AS_rank","V41"
"1",0,0,0,4.93908282,-82,1025,0.653307005638768,0.363011828812691,0.802713129383763,0.231326747752301,0.66596822017845,0.34976914210288,0.823583822897328,0.203905032780621,0.6602886745,0.369381279833333,0.792968142833333,0.225653975833333,0.686027443,0.36972696775,0.856118881,0.2412587415,0.651530030065211,0.368344816777564,0.794694369839452,0.233491454621017,0.672999580404659,0.347766448013203,0.840504639458728,0.198641239494514,0.536949748342255,0.543100165037451,0.666666666666667,0.75,0.513612124614089,0.505761843790013,0.489922480620155,0,"Hard",1,1.96
"2",0,0,0,-17.01026694,96,-2190,0.630788570275397,0.327476631010115,0.757701237489275,0.183537102831968,0.631827224102573,0.319302524384953,0.749289574074528,0.166357049898958,0.677696955,0.232983683,0.866666666666667,0.013888889,0.677696955,0.232983683,0.866666666666667,0.013888889,0.630097522674231,0.322641622571321,0.755846955273054,0.17932740116788,0.633437536708594,0.322374863796183,0.748839173312296,0.181420719748335,0.433867653103165,0.43381935239538,0.333333333333333,0.333333333333333,0.412430800201308,0.442610927759443,0.469317356572259,1,"Hard",-3,3.39
"3",0,0,0,-3.62765229,-32,-2080,0.634085132784984,0.37219430806206,0.761999715988725,0.246485363697228,0.64714172763167,0.363660598109824,0.791121690410963,0.227836795013278,0.631720154,0.311596403,0.738095238,0.138095238,0.611764706,0.341772152,0.714285714,0.214285714,0.636283004381699,0.370815102165934,0.775085820658159,0.238125498760051,0.649683220985973,0.354769443951727,0.800744207076811,0.196701550336688,0.48423928556865,0.478260869565217,0.333333333333333,0,0.493670886075949,0.462287104622871,0.528888888888889,0,"Hard",-2,1.78
"4",0,0,1,9.69199178,76,3880,0.640715353294457,0.400551445915955,0.761889097983893,0.325069681109845,0.640161746312674,0.378845849695723,0.758531285591754,0.282593336545743,0.713768116,0.439952904,0.9074074075,0.401098901,0.713768116,0.439952904,0.9074074075,0.401098901,0.651147946553457,0.40556512015464,0.775532543955633,0.332351222465621,0.654009460427615,0.364872499525817,0.780068179733947,0.258658517765932,0.567441256653252,0.551176792556103,1,1,0.578279266572638,0.538827258320127,0.503115264797508,1,"Hard",3,2.16
"5",0,0,-1,-12.19164955,91,-5585,0.602340574398199,0.336795043308428,0.678195059052381,0.188521008103502,0.622240636976146,0.325278369683401,0.715890692958725,0.169782156522829,0.5542566868,0.2869648076,0.5936324786,0.1057142858,0.583746898,0.2036238135,0.6,0.05,0.598706057843368,0.337336965825173,0.669265733878615,0.195783069187196,0.622824033428016,0.348278074624844,0.71983610346508,0.212180951834069,0.414700175968957,0.407947951468261,0.2,0,0.420371412492966,0.486301369863014,0.464981949458484,0,"Hard",-5,1.41
"6",0,0,-1,-10.88021902,151,-6640,0.597929592006098,0.36085337093332,0.668007523429326,0.234671033987503,0.615901961563489,0.352371662544431,0.70438986454171,0.21713791725037,0.527956145666667,0.296296296333333,0.540945166,0.138888888666667,0.604651163,0.3,0.791666667,0.083333333,0.596059792850314,0.35650890075178,0.662054114246067,0.234220297022953,0.626949141762438,0.340341212593084,0.738968749323059,0.191961454189765,0.430797433547204,0.418771127460728,0,0,0.434092112228692,0.431034482758621,0.485962225625319,1,"Hard",-6,2.98
"8",0,0,0,-1.18822724,73,-2760,0.627312628948524,0.374320413792434,0.742434072245684,0.24966510544883,0.627847824558593,0.363339934721577,0.738784988964625,0.230116826160425,0.70274910475,0.38631631575,0.8214285715,0.23819444425,0.70274910475,0.38631631575,0.8214285715,0.23819444425,0.624675398586558,0.377387783040034,0.735185194581141,0.259534499009036,0.625382510255036,0.35665629038815,0.724715543647018,0.215346219366721,0.49606661805902,0.469026548672566,0.75,0.75,0.502970808576595,0.456175298804781,0.485148514851485,1,"Hard",-3,1.92
"9",0,0,0,1.31143053,0,-1055,0.651819687931624,0.371294330833199,0.797956707311593,0.246476989452794,0.665656898297453,0.361851399950585,0.819341094934204,0.23021292650202,0.6395629085,0.39787878775,0.79242424225,0.24749729425,0.637472767,0.424444444333333,0.789898989666667,0.306186868666667,0.656818056574022,0.372995394233819,0.801413963149254,0.255115652908977,0.675571268317209,0.354096894769423,0.830296716153373,0.21971102404146,0.520138413873577,0.519207484865162,0.25,0.333333333333333,0.543251693590412,0.52906976744186,0.515834348355664,0,"Hard",-1,2.09
"10",0,0,0,5.78507871,-52,-2755,0.631300900225377,0.358322238519873,0.735364730247477,0.232949793592969,0.631794320056893,0.357743942927959,0.743714535192818,0.239799345455705,0.648467880333333,0.293839568333333,0.870588235333333,0.120479303,0.6303372885,0.2603940555,0.85,0.077777778,0.628290356853582,0.352494972811177,0.722025073875746,0.219466010664768,0.636895289293327,0.35261711689014,0.751542566908682,0.226438243017098,0.499151103565365,0.49369812480787,0,0,0.503770372172221,0.515748031496063,0.49438202247191,1,"Hard",-1,3.12
"11",0,0,0,6.28610541,-37,3920,0.647269514568642,0.389039256424635,0.777535047154153,0.283196654206158,0.659550475716299,0.384325769617303,0.805596894977212,0.271547374739234,0.606079388,0.424908345,0.7217948718,0.3113756612,0,0,0,0,0.642712002074429,0.387628344327998,0.777440625414815,0.286328908068387,0.657257206300913,0.378804192152626,0.810950710452989,0.255656648516768,0.534254807692308,0.53859299344916,0.4,0,0.533333333333333,0.546906187624751,0.54602510460251,0,"Hard",3,5.15
