tourney_name,Tournament,Winner,Loser,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Brisbane,Brisbane International,Nishikori,Medvedev,Dimitrov,Nishioka,F,,1st Round,,1.35,3.18,,
Brisbane,Brisbane International,Medvedev,Tsonga,Raonic,Bedene,SF,,1st Round,,1.22,4.26,,
Brisbane,Brisbane International,Nishikori,Chardy,Kecmanovic,Mayer,SF,,1st Round,,1.63,2.28,,
Brisbane,Brisbane International,Tsonga,De,Millman,Sandgren,QF,,1st Round,,1.4,2.95,,
Brisbane,Brisbane International,Medvedev,Raonic,Uchiyama,Humbert,QF,,1st Round,,2.69,1.47,,
Brisbane,Brisbane International,Chardy,Uchiyama,Kudla,Fritz,QF,,1st Round,,2.7,1.47,,
Brisbane,Brisbane International,Nishikori,Dimitrov,Chardy,Struff,QF,,1st Round,,2.19,1.68,,
Brisbane,Brisbane International,Tsonga,Daniel,Murray,Duckworth,R16,,1st Round,,1.34,3.26,,
Brisbane,Brisbane International,De,Thompson,Kyrgios,Harrison,R16,,1st Round,,1.44,2.8,,
Brisbane,Brisbane International,Medvedev,Murray,Tsonga,Kokkinakis,R16,,1st Round,,2.27,1.64,,
Brisbane,Brisbane International,Raonic,Kecmanovic,De,Popyrin,R16,,1st Round,,1.2,4.55,,
Brisbane,Brisbane International,Chardy,Kyrgios,Thompson,Bolt,R16,,1st Round,,1.36,3.14,,
Brisbane,Brisbane International,Uchiyama,Edmund,Dimitrov,Millman,R16,,2nd Round,,1.43,2.82,,
Brisbane,Brisbane International,Dimitrov,Millman,Uchiyama,Edmund,R16,,2nd Round,,4.26,1.22,,
Brisbane,Brisbane International,Nishikori,Kudla,Nishikori,Kudla,R16,,2nd Round,,1.16,5.17,,
Brisbane,Brisbane International,Tsonga,Kokkinakis,Raonic,Kecmanovic,R32,,2nd Round,,1.21,4.48,,
Brisbane,Brisbane International,Thompson,Bolt,Chardy,Kyrgios,R32,,2nd Round,,3.11,1.37,,
Brisbane,Brisbane International,De,Popyrin,Medvedev,Murray,R32,,2nd Round,,1.88,1.93,,
Brisbane,Brisbane International,Murray,Duckworth,De,Thompson,R32,,2nd Round,,1.38,3.06,,
Brisbane,Brisbane International,Kecmanovic,Mayer,Tsonga,Daniel,R32,,2nd Round,,1.27,3.84,,
Brisbane,Brisbane International,Raonic,Bedene,Chardy,Uchiyama,R32,,Quarterfinals,,1.61,2.34,,
Brisbane,Brisbane International,Kyrgios,Harrison,Nishikori,Dimitrov,R32,,Quarterfinals,,1.65,2.26,,
Brisbane,Brisbane International,Chardy,Lennard,Medvedev,Raonic,R32,,Quarterfinals,,2.04,1.79,,
Brisbane,Brisbane International,Uchiyama,Humbert,Tsonga,De,R32,,Quarterfinals,,2.42,1.57,,
Brisbane,Brisbane International,Dimitrov,Nishioka,Nishikori,Chardy,R32,,Semifinals,,1.17,5.11,,
Brisbane,Brisbane International,Millman,Sandgren,Medvedev,Tsonga,R32,,Semifinals,,1.67,2.23,,
Brisbane,Brisbane International,Kudla,Fritz,Nishikori,Medvedev,R32,,The Final,,1.6,2.36,,
Doha,Qatar Exxon Mobil Open,Bautista,Berdych,Bautista,Berrettini,F,,1st Round,,1.35,3.23,,
Doha,Qatar Exxon Mobil Open,Bautista,Djokovic,Jarry,Haase,SF,,1st Round,,2.05,1.77,,
Doha,Qatar Exxon Mobil Open,Berdych,Cecchinato,Verdasco,Lorenzi,SF,,1st Round,,1.24,4.07,,
Doha,Qatar Exxon Mobil Open,Djokovic,Basilashvili,Berdych,Kohlschreiber,QF,,1st Round,,2.44,1.59,,
Doha,Qatar Exxon Mobil Open,Bautista,Wawrinka,Basilashvili,Ramos-Vinolas,QF,,1st Round,,1.45,2.75,,
Doha,Qatar Exxon Mobil Open,Cecchinato,Lajovic,Rublev,Seppi,QF,,1st Round,,1.5,2.59,,
Doha,Qatar Exxon Mobil Open,Berdych,Hugues,Marterer,Gojowczyk,QF,,1st Round,,2.09,1.74,,
Doha,Qatar Exxon Mobil Open,Djokovic,Fucsovics,Berankis,Goffin,R16,,1st Round,,3.32,1.33,,
Doha,Qatar Exxon Mobil Open,Basilashvili,Rublev,Pella,Ilkel,R16,,1st Round,,1.2,4.49,,
Doha,Qatar Exxon Mobil Open,Wawrinka,Jarry,Cecchinato,Stakhovsky,R16,,1st Round,,2.18,1.68,,
Doha,Qatar Exxon Mobil Open,Bautista,Garcia,Lajovic,Mannarino,R16,,1st Round,,1.72,2.11,,
Doha,Qatar Exxon Mobil Open,Lajovic,Berankis,Garcia-Lopez,Zayid,R16,,1st Round,,1.02,17.2,,
Doha,Qatar Exxon Mobil Open,Cecchinato,Pella,Wawrinka,Khachanov,R16,,1st Round,,2.89,1.41,,
Doha,Qatar Exxon Mobil Open,Berdych,Verdasco,Fucsovics,Copil,R16,,1st Round,,1.64,2.26,,
Doha,Qatar Exxon Mobil Open,Hugues,Marterer,Djokovic,Dzumhur,R16,,1st Round,,1.03,12.85,,
Doha,Qatar Exxon Mobil Open,Djokovic,Dzumhur,Herbert,Thiem,R32,,1st Round,,3.77,1.27,,
Doha,Qatar Exxon Mobil Open,Fucsovics,Copil,Lajovic,Berankis,R32,,2nd Round,,1.72,2.12,,
Doha,Qatar Exxon Mobil Open,Rublev,Seppi,Bautista,Garcia-Lopez,R32,,2nd Round,,1.23,4.2,,
Doha,Qatar Exxon Mobil Open,Basilashvili,Ramos,Wawrinka,Jarry,R32,,2nd Round,,1.37,3.1,,
Doha,Qatar Exxon Mobil Open,Wawrinka,Khachanov,Djokovic,Fucsovics,R32,,2nd Round,,1.03,12.51,,
Doha,Qatar Exxon Mobil Open,Jarry,Haase,Cecchinato,Pella,R32,,2nd Round,,2.03,1.78,,
Doha,Qatar Exxon Mobil Open,Garcia,Shannan,Herbert,Marterer,R32,,2nd Round,,1.69,2.17,,
Doha,Qatar Exxon Mobil Open,Bautista,Berrettini,Basilashvili,Rublev,R32,,2nd Round,,2,1.81,,
Doha,Qatar Exxon Mobil Open,Berankis,Goffin,Berdych,Verdasco,R32,,2nd Round,,1.71,2.14,,
Doha,Qatar Exxon Mobil Open,Lajovic,Mannarino,Bautista,Wawrinka,R32,,Quarterfinals,,2.1,1.75,,
Doha,Qatar Exxon Mobil Open,Pella,Ilkel,Djokovic,Basilashvili,R32,,Quarterfinals,,1.07,8.78,,
