tourney_name,X,X.1,Winner,Loser,roundno,Round.,AvgW,AvgL,Avgoddsw,Avgoddsl
Brisbane,Nishikori,Medvedev,Dimitrov,Nishioka,1,5,1.35,3.18,,
Brisbane,Medvedev,Tsonga,Raonic,Bedene,2,5,1.22,4.26,,
Brisbane,Nishikori,Chardy,Kecmanovic,Mayer,2,5,1.63,2.28,,
Brisbane,Tsonga,De,Millman,Sandgren,3,5,1.4,2.95,,
Brisbane,Medvedev,Raonic,Uchiyama,Humbert,3,5,2.69,1.47,,
Brisbane,Chardy,Uchiyama,Kudla,Fritz,3,5,2.7,1.47,,
Brisbane,Nishikori,Dimitrov,Chardy,Struff,3,5,2.19,1.68,,
Brisbane,Tsonga,Daniel,Murray,Duckworth,4,5,1.34,3.26,,
Brisbane,De,Thompson,Kyrgios,Harrison,4,5,1.44,2.8,,
Brisbane,Medvedev,Murray,Tsonga,Kokkinakis,4,5,2.27,1.64,,
Brisbane,Raonic,Kecmanovic,De,Popyrin,4,5,1.2,4.55,,
Brisbane,Chardy,Kyrgios,Thompson,Bolt,4,5,1.36,3.14,,
Brisbane,Uchiyama,Edmund,Dimitrov,Millman,4,4,1.43,2.82,,
Brisbane,Dimitrov,Millman,Uchiyama,Edmund,4,4,4.26,1.22,,
Brisbane,Nishikori,Kudla,Nishikori,Kudla,4,4,1.16,5.17,,
Brisbane,Tsonga,Kokkinakis,Raonic,Kecmanovic,5,4,1.21,4.48,,
Brisbane,Thompson,Bolt,Chardy,Kyrgios,5,4,3.11,1.37,,
Brisbane,De,Popyrin,Medvedev,Murray,5,4,1.88,1.93,,
Brisbane,Murray,Duckworth,De,Thompson,5,4,1.38,3.06,,
Brisbane,Kecmanovic,Mayer,Tsonga,Daniel,5,4,1.27,3.84,,
Brisbane,Raonic,Bedene,Chardy,Uchiyama,5,3,1.61,2.34,,
Brisbane,Kyrgios,Harrison,Nishikori,Dimitrov,5,3,1.65,2.26,,
Brisbane,Chardy,Lennard,Medvedev,Raonic,5,3,2.04,1.79,,
Brisbane,Uchiyama,Humbert,Tsonga,De,5,3,2.42,1.57,,
Brisbane,Dimitrov,Nishioka,Nishikori,Chardy,5,2,1.17,5.11,,
Brisbane,Millman,Sandgren,Medvedev,Tsonga,5,2,1.67,2.23,,
Brisbane,Kudla,Fritz,Nishikori,Medvedev,5,1,1.6,2.36,,
Doha,Bautista,Berdych,Bautista,Berrettini,1,5,1.35,3.23,,
Doha,Bautista,Djokovic,Jarry,Haase,2,5,2.05,1.77,,
Doha,Berdych,Cecchinato,Verdasco,Lorenzi,2,5,1.24,4.07,,
Doha,Djokovic,Basilashvili,Berdych,Kohlschreiber,3,5,2.44,1.59,,
Doha,Bautista,Wawrinka,Basilashvili,Ramos-Vinolas,3,5,1.45,2.75,,
Doha,Cecchinato,Lajovic,Rublev,Seppi,3,5,1.5,2.59,,
Doha,Berdych,Hugues,Marterer,Gojowczyk,3,5,2.09,1.74,,
Doha,Djokovic,Fucsovics,Berankis,Goffin,4,5,3.32,1.33,,
Doha,Basilashvili,Rublev,Pella,Ilkel,4,5,1.2,4.49,,
Doha,Wawrinka,Jarry,Cecchinato,Stakhovsky,4,5,2.18,1.68,,
Doha,Bautista,Garcia,Lajovic,Mannarino,4,5,1.72,2.11,,
Doha,Lajovic,Berankis,Garcia-Lopez,Zayid,4,5,1.02,17.2,,
Doha,Cecchinato,Pella,Wawrinka,Khachanov,4,5,2.89,1.41,,
Doha,Berdych,Verdasco,Fucsovics,Copil,4,5,1.64,2.26,,
Doha,Hugues,Marterer,Djokovic,Dzumhur,4,5,1.03,12.85,,
Doha,Djokovic,Dzumhur,Herbert,Thiem,5,5,3.77,1.27,,
Doha,Fucsovics,Copil,Lajovic,Berankis,5,4,1.72,2.12,,
Doha,Rublev,Seppi,Bautista,Garcia-Lopez,5,4,1.23,4.2,,
Doha,Basilashvili,Ramos,Wawrinka,Jarry,5,4,1.37,3.1,,
Doha,Wawrinka,Khachanov,Djokovic,Fucsovics,5,4,1.03,12.51,,
Doha,Jarry,Haase,Cecchinato,Pella,5,4,2.03,1.78,,
Doha,Garcia,Shannan,Herbert,Marterer,5,4,1.69,2.17,,
Doha,Bautista,Berrettini,Basilashvili,Rublev,5,4,2,1.81,,
Doha,Berankis,Goffin,Berdych,Verdasco,5,4,1.71,2.14,,
Doha,Lajovic,Mannarino,Bautista,Wawrinka,5,3,2.1,1.75,,
Doha,Pella,Ilkel,Djokovic,Basilashvili,5,3,1.07,8.78,,
Doha,Cecchinato,Stakhovsky,Berdych,Herbert,5,3,1.49,2.67,,
Doha,Verdasco,Lorenzi,Cecchinato,Lajovic,5,3,2.53,1.53,,
Doha,Berdych,Kohlschreiber,Bautista,Djokovic,5,2,4.95,1.18,,
Doha,Marterer,Gojowczyk,Berdych,Cecchinato,5,2,1.45,2.78,,
Doha,Hugues,Thiem,Bautista,Berdych,5,1,1.6,2.37,,
Pune,Anderson,Karlovic,Darcis,Carballes,1,5,2.35,1.59,,
Pune,Anderson,Simon,Munar,Albot,2,5,1.94,1.86,,
Pune,Karlovic,Darcis,Donskoy,Andujar,2,5,1.51,2.53,,
Pune,Anderson,Munar,Mmoh,Gunneswaran,3,5,1.74,2.09,,
Pune,Simon,Paire,Gulbis,Sousa,3,5,1.35,3.19,,
Pune,Darcis,Jaziri,Karlovic,Auger-Aliassime,3,5,2.16,1.7,,
Pune,Karlovic,Gulbis,Bolelli,Istomin,3,5,2.11,1.72,,
Pune,Anderson,Djere,Ivashka,Hurkacz,4,5,2.24,1.65,,
Pune,Munar,Bolelli,Vesely,Hoang,4,5,1.88,1.92,,
Pune,Simon,Ivashka,Paire,Monteiro,4,5,1.34,3.07,,
Pune,Paire,Vesely,Ramanathan,Granollers,4,5,2.3,1.61,,
Pune,Darcis,Mmoh,Djere,Kadhe,4,5,1.25,3.96,,
Pune,Jaziri,Ramanathan,Karlovic,Donskoy,4,4,1.66,2.22,,
Pune,Karlovic,Donskoy,Gulbis,Chung,4,4,3.25,1.34,,
Pune,Gulbis,Chung,Paire,Vesely,4,4,1.54,2.48,,
Pune,Djere,Kadhe,Anderson,Djere,5,4,1.32,3.31,,
Pune,Bolelli,Istomin,Munar,Bolelli,5,4,2.08,1.75,,
Pune,Munar,Albot,Darcis,Mmoh,5,4,2.42,1.56,,
Pune,Ivashka,Hurkacz,Simon,Ivashka,5,4,1.45,2.74,,
Pune,Vesely,Hoang,Jaziri,Ramanathan,5,4,1.94,1.86,,
Pune,Paire,Monteiro,Karlovic,Gulbis,5,3,2.12,1.73,,
Pune,Darcis,Carballes,Darcis,Jaziri,5,3,1.82,2,,
Pune,Mmoh,Gunneswaran,Anderson,Munar,5,3,1.3,3.57,,
Pune,Ramanathan,Granollers,Simon,Paire,5,3,1.56,2.44,,
Pune,Donskoy,Andujar,Karlovic,Darcis,5,2,1.53,2.53,,
Pune,Karlovic,Auger,Anderson,Simon,5,2,1.39,3.03,,
Pune,Gulbis,Sousa,Anderson,Karlovic,5,1,1.27,3.83,,
Auckland,Sandgren,Norrie,Fritz,Copil,1,5,1.59,2.34,,
Auckland,Norrie,Lennard,Kohlschreiber,Klahn,2,5,1.48,2.64,,
Auckland,Sandgren,Kohlschreiber,Struff,Djere,2,5,1.46,2.72,,
Auckland,Norrie,Fritz,Norrie,Paire,3,5,1.66,2.23,,
Auckland,Lennard,Carreno,Sandgren,Marterer,3,5,2.48,1.54,,
Auckland,Sandgren,Mayer,Berrettini,Mcdonald,3,5,1.8,2.01,,
Auckland,Kohlschreiber,Fognini,Sousa,Shapovalov,3,5,2.71,1.47,,
Auckland,Fritz,Isner,Mayer,Johnson,4,5,2.56,1.51,,
Auckland,Norrie,Sousa,Ferrer,Haase,4,5,1.72,2.12,,
