tourney_name,Tournament,winner_name,loser_name,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Brisbane,Brisbane International,Ryan Harrison,Leonardo Mayer,Dolgopolov O.,Schwartzman D.,R32,,1st Round,,2.17,1.68,,
Brisbane,Brisbane International,Jared Donaldson,Jordan Thompson,De Minaur A.,Johnson S.,R32,,1st Round,,2.96,1.39,,
Brisbane,Brisbane International,Denis Istomin,Damir Dzumhur,Harrison R.,Mayer L.,R32,,1st Round,,1.67,2.17,,
Brisbane,Brisbane International,Alex De Minaur,Steve Johnson,Ebden M.,Tiafoe F.,R32,,1st Round,,2.37,1.58,,
Brisbane,Brisbane International,Michael Mmoh,Federico Delbonis,Zverev M.,Smith J.P.,R32,,1st Round,,1.44,2.73,,
Brisbane,Brisbane International,Mischa Zverev,John Patrick Smith,Zeballos H.,Escobedo E.,R32,,1st Round,,2.2,1.66,,
Brisbane,Brisbane International,Alexandr Dolgopolov,Diego Schwartzman,Donaldson J.,Thompson J.,R32,,1st Round,,1.89,1.89,,
Brisbane,Brisbane International,Horacio Zeballos,Ernesto Escobedo,Mmoh M.,Delbonis F.,R32,,1st Round,,1.77,2.03,,
Brisbane,Brisbane International,Matthew Ebden,Frances Tiafoe,Chung H.,Muller G.,R32,,1st Round,,1.59,2.35,,
Brisbane,Brisbane International,Hyeon Chung,Gilles Muller,Edmund K.,Shapovalov D.,R32,,1st Round,,1.74,2.08,,
Brisbane,Brisbane International,Kyle Edmund,Denis Shapovalov,Istomin D.,Dzumhur D.,R32,,1st Round,,2.53,1.51,,
Brisbane,Brisbane International,John Millman,Peter Polansky,Millman J.,Polansky P.,R32,,1st Round,,1.33,3.27,,
Brisbane,Brisbane International,Ryan Harrison,Yannick Hanfmann,Dolgopolov O.,Zeballos H.,R16,,2nd Round,,1.34,3.2,,
Brisbane,Brisbane International,Denis Istomin,Jared Donaldson,Kyrgios N.,Ebden M.,R16,,2nd Round,,1.16,5.18,,
Brisbane,Brisbane International,Alex De Minaur,Milos Raonic,Mmoh M.,Zverev M.,R16,,2nd Round,,2.4,1.56,,
Brisbane,Brisbane International,Michael Mmoh,Mischa Zverev,De Minaur A.,Raonic M.,R16,,2nd Round,,4.4,1.2,,
Brisbane,Brisbane International,Alexandr Dolgopolov,Horacio Zeballos,Istomin D.,Donaldson J.,R16,,2nd Round,,1.92,1.87,,
Brisbane,Brisbane International,Nick Kyrgios,Matthew Ebden,Harrison R.,Hanfmann Y.,R16,,2nd Round,,1.34,3.21,,
Brisbane,Brisbane International,Kyle Edmund,Hyeon Chung,Edmund K.,Chung H.,R16,,2nd Round,,2.06,1.74,,
Brisbane,Brisbane International,Grigor Dimitrov,John Millman,Dimitrov G.,Millman J.,R16,,2nd Round,,1.17,4.85,,
Brisbane,Brisbane International,Ryan Harrison,Denis Istomin,De Minaur A.,Mmoh M.,QF,,Quarterfinals,,1.73,2.11,,
Brisbane,Brisbane International,Alex De Minaur,Michael Mmoh,Kyrgios N.,Dolgopolov O.,QF,,Quarterfinals,,1.45,2.77,,
Brisbane,Brisbane International,Nick Kyrgios,Alexandr Dolgopolov,Harrison R.,Istomin D.,QF,,Quarterfinals,,1.88,1.92,,
Brisbane,Brisbane International,Grigor Dimitrov,Kyle Edmund,Dimitrov G.,Edmund K.,QF,,Quarterfinals,,1.36,3.18,,
Brisbane,Brisbane International,Ryan Harrison,Alex De Minaur,Harrison R.,De Minaur A.,SF,,Semifinals,,1.65,2.25,,
Brisbane,Brisbane International,Nick Kyrgios,Grigor Dimitrov,Kyrgios N.,Dimitrov G.,SF,,Semifinals,,2.05,1.77,,
Brisbane,Brisbane International,Nick Kyrgios,Ryan Harrison,Kyrgios N.,Harrison R.,F,,The Final,,1.21,4.5,,
Doha,Qatar Exxon Mobil Open,Borna Coric,Pablo Carreno Busta,Rublev A.,Stebe C.M.,R32,,1st Round,,1.49,2.59,,
Doha,Qatar Exxon Mobil Open,Nikoloz Basilashvili,Thomas Fabbiano,Verdasco F.,Sela D.,R32,,1st Round,,1.4,2.92,,
Doha,Qatar Exxon Mobil Open,Andrey Rublev,Cedrik Marcel Stebe,Thiem D.,Donskoy E.,R32,,1st Round,,1.21,4.26,,
Doha,Qatar Exxon Mobil Open,Fernando Verdasco,Dudi Sela,Basilashvili N.,Fabbiano T.,R32,,1st Round,,1.68,2.16,,
Doha,Qatar Exxon Mobil Open,Guido Pella,Albert Ramos,Tsitsipas S.,Mayer F.,R32,,1st Round,,1.52,2.49,,
Doha,Qatar Exxon Mobil Open,Stefano Travaglia,Jabor Al Mutawa,Coric B.,Carreno Busta P.,R32,,1st Round,,1.75,2.06,,
Doha,Qatar Exxon Mobil Open,Mirza Basic,Andreas Haider Maurer,Basic M.,Haider-Maurer A.,R32,,1st Round,,1.23,4.08,,
Doha,Qatar Exxon Mobil Open,Feliciano Lopez,Guillermo Garcia Lopez,Lopez F.,Garcia-Lopez G.,R32,,1st Round,,1.55,2.42,,
Doha,Qatar Exxon Mobil Open,Peter Gojowczyk,Filip Krajinovic,Gojowczyk P.,Krajinovic F.,R32,,1st Round,,2.14,1.7,,
Doha,Qatar Exxon Mobil Open,Matteo Berrettini,Viktor Troicki,Bedene A.,Jaziri M.,R32,,1st Round,,1.57,2.38,,
Doha,Qatar Exxon Mobil Open,Gael Monfils,Paolo Lorenzi,Berrettini M.,Troicki V.,R32,,1st Round,,2.27,1.62,,
Doha,Qatar Exxon Mobil Open,Jan Lennard Struff,Tomas Berdych,Struff J.L.,Berdych T.,R32,,1st Round,,3.14,1.35,,
Doha,Qatar Exxon Mobil Open,Richard Gasquet,Victor Estrella,Travaglia S.,Al Mutawa J.,R32,,1st Round,,1.01,18.89,,
Doha,Qatar Exxon Mobil Open,Stefanos Tsitsipas,Florian Mayer,Gasquet R.,Estrella Burgos V.,R32,,1st Round,,1.11,6.45,,
Doha,Qatar Exxon Mobil Open,Aljaz Bedene,Malek Jaziri,Pella G.,Ramos-Vinolas A.,R32,,1st Round,,1.92,1.86,,
Doha,Qatar Exxon Mobil Open,Dominic Thiem,Evgeny Donskoy,Monfils G.,Lorenzi P.,R32,,1st Round,,1.23,4.04,,
Doha,Qatar Exxon Mobil Open,Borna Coric,Nikoloz Basilashvili,Coric B.,Basilashvili N.,R16,,2nd Round,,1.46,2.66,,
Doha,Qatar Exxon Mobil Open,Andrey Rublev,Fernando Verdasco,Basic M.,Lopez F.,R16,,2nd Round,,2.67,1.46,,
Doha,Qatar Exxon Mobil Open,Guido Pella,Stefano Travaglia,Rublev A.,Verdasco F.,R16,,2nd Round,,2.17,1.68,,
Doha,Qatar Exxon Mobil Open,Mirza Basic,Feliciano Lopez,Gojowczyk P.,Berrettini M.,R16,,2nd Round,,1.57,2.38,,
Doha,Qatar Exxon Mobil Open,Peter Gojowczyk,Matteo Berrettini,Thiem D.,Bedene A.,R16,,2nd Round,,1.3,3.47,,
Doha,Qatar Exxon Mobil Open,Gael Monfils,Jan Lennard Struff,Pella G.,Travaglia S.,R16,,2nd Round,,1.44,2.73,,
Doha,Qatar Exxon Mobil Open,Stefanos Tsitsipas,Richard Gasquet,Monfils G.,Struff J.L.,R16,,2nd Round,,1.61,2.3,,
Doha,Qatar Exxon Mobil Open,Dominic Thiem,Aljaz Bedene,Tsitsipas S.,Gasquet R.,R16,,2nd Round,,3.04,1.37,,
Doha,Qatar Exxon Mobil Open,Andrey Rublev,Borna Coric,Pella G.,Basic M.,QF,,Quarterfinals,,1.52,2.5,,
Doha,Qatar Exxon Mobil Open,Guido Pella,Mirza Basic,Rublev A.,Coric B.,QF,,Quarterfinals,,2.06,1.76,,
