tourney_name,winner,loser,Winner,Loser,Round,Round.1,AvgW,AvgL,Avgoddsw,Avgoddsl
Brisbane,Harrison,Mayer,Dolgopolov,Schwartzman,5,5,2.17,1.68,,
Brisbane,Donaldson,Thompson,De,Johnson,5,5,2.96,1.39,,
Brisbane,Istomin,Dzumhur,Harrison,Mayer,5,5,1.67,2.17,,
Brisbane,De,Johnson,Ebden,Tiafoe,5,5,2.37,1.58,,
Brisbane,Mmoh,Delbonis,Zverev,Smith,5,5,1.44,2.73,,
Brisbane,Zverev,Patrick,Zeballos,Escobedo,5,5,2.2,1.66,,
Brisbane,Dolgopolov,Schwartzman,Donaldson,Thompson,5,5,1.89,1.89,,
Brisbane,Zeballos,Escobedo,Mmoh,Delbonis,5,5,1.77,2.03,,
Brisbane,Ebden,Tiafoe,Chung,Muller,5,5,1.59,2.35,,
Brisbane,Chung,Muller,Edmund,Shapovalov,5,5,1.74,2.08,,
Brisbane,Edmund,Shapovalov,Istomin,Dzumhur,5,5,2.53,1.51,,
Brisbane,Millman,Polansky,Millman,Polansky,5,5,1.33,3.27,,
Brisbane,Harrison,Hanfmann,Dolgopolov,Zeballos,4,4,1.34,3.2,,
Brisbane,Istomin,Donaldson,Kyrgios,Ebden,4,4,1.16,5.18,,
Brisbane,De,Raonic,Mmoh,Zverev,4,4,2.4,1.56,,
Brisbane,Mmoh,Zverev,De,Raonic,4,4,4.4,1.2,,
Brisbane,Dolgopolov,Zeballos,Istomin,Donaldson,4,4,1.92,1.87,,
Brisbane,Kyrgios,Ebden,Harrison,Hanfmann,4,4,1.34,3.21,,
Brisbane,Edmund,Chung,Edmund,Chung,4,4,2.06,1.74,,
Brisbane,Dimitrov,Millman,Dimitrov,Millman,4,4,1.17,4.85,,
Brisbane,Harrison,Istomin,De,Mmoh,3,3,1.73,2.11,,
Brisbane,De,Mmoh,Kyrgios,Dolgopolov,3,3,1.45,2.77,,
Brisbane,Kyrgios,Dolgopolov,Harrison,Istomin,3,3,1.88,1.92,,
Brisbane,Dimitrov,Edmund,Dimitrov,Edmund,3,3,1.36,3.18,,
Brisbane,Harrison,De,Harrison,De,2,2,1.65,2.25,,
Brisbane,Kyrgios,Dimitrov,Kyrgios,Dimitrov,2,2,2.05,1.77,,
Brisbane,Kyrgios,Harrison,Kyrgios,Harrison,1,1,1.21,4.5,,
Doha,Coric,Carreno,Rublev,Stebe,5,5,1.49,2.59,,
Doha,Basilashvili,Fabbiano,Verdasco,Sela,5,5,1.4,2.92,,
Doha,Rublev,Marcel,Thiem,Donskoy,5,5,1.21,4.26,,
Doha,Verdasco,Sela,Basilashvili,Fabbiano,5,5,1.68,2.16,,
Doha,Pella,Ramos,Tsitsipas,Mayer,5,5,1.52,2.49,,
Doha,Travaglia,Al,Coric,Carreno,5,5,1.75,2.06,,
Doha,Basic,Haider,Basic,Haider-Maurer,5,5,1.23,4.08,,
Doha,Lopez,Garcia,Lopez,Garcia-Lopez,5,5,1.55,2.42,,
Doha,Gojowczyk,Krajinovic,Gojowczyk,Krajinovic,5,5,2.14,1.7,,
Doha,Berrettini,Troicki,Bedene,Jaziri,5,5,1.57,2.38,,
Doha,Monfils,Lorenzi,Berrettini,Troicki,5,5,2.27,1.62,,
Doha,Lennard,Berdych,Struff,Berdych,5,5,3.14,1.35,,
Doha,Gasquet,Estrella,Travaglia,Al,5,5,1.01,18.89,,
Doha,Tsitsipas,Mayer,Gasquet,Estrella,5,5,1.11,6.45,,
Doha,Bedene,Jaziri,Pella,Ramos-Vinolas,5,5,1.92,1.86,,
Doha,Thiem,Donskoy,Monfils,Lorenzi,5,5,1.23,4.04,,
Doha,Coric,Basilashvili,Coric,Basilashvili,4,4,1.46,2.66,,
Doha,Rublev,Verdasco,Basic,Lopez,4,4,2.67,1.46,,
Doha,Pella,Travaglia,Rublev,Verdasco,4,4,2.17,1.68,,
Doha,Basic,Lopez,Gojowczyk,Berrettini,4,4,1.57,2.38,,
Doha,Gojowczyk,Berrettini,Thiem,Bedene,4,4,1.3,3.47,,
Doha,Monfils,Lennard,Pella,Travaglia,4,4,1.44,2.73,,
Doha,Tsitsipas,Gasquet,Monfils,Struff,4,4,1.61,2.3,,
Doha,Thiem,Bedene,Tsitsipas,Gasquet,4,4,3.04,1.37,,
Doha,Rublev,Coric,Pella,Basic,3,3,1.52,2.5,,
Doha,Pella,Basic,Rublev,Coric,3,3,2.06,1.76,,
Doha,Monfils,Gojowczyk,Thiem,Tsitsipas,3,3,1.39,2.98,,
Doha,Thiem,Tsitsipas,Monfils,Gojowczyk,3,3,1.52,2.54,,
Doha,Rublev,Pella,Rublev,Pella,2,2,1.52,2.54,,
Doha,Monfils,Thiem,Monfils,Thiem,2,2,2.52,1.53,,
Doha,Monfils,Rublev,Monfils,Rublev,1,1,1.62,2.3,,
Pune,Monteiro,Bemelmans,Jarry,Andujar,5,5,1.37,3.04,,
Pune,Djere,Copil,Fucsovics,Kicker,5,5,1.24,3.99,,
Pune,Kukushkin,Albot,Kukushkin,Albot,5,5,1.59,2.35,,
Pune,Fucsovics,Kicker,Ojeda,Vesely,5,5,3.19,1.34,,
Pune,Jarry,Andujar,Herbert,Cecchinato,5,5,1.26,3.74,,
Pune,Haase,Kavcic,Simon,Sandgren,5,5,1.46,2.68,,
Pune,Ojeda,Vesely,Ramanathan,Carballes,5,5,1.65,2.21,,
Pune,Ivashka,Nagal,Ivashka,Nagal,5,5,1.65,2.23,,
Pune,Simon,Sandgren,Djere,Copil,5,5,2.82,1.42,,
Pune,Hugues,Cecchinato,Haase,Kavcic,5,5,1.33,3.27,,
Pune,Bhambri,Kadhe,Bhambri,Kadhe,5,5,1.08,7.76,,
Pune,Ramanathan,Carballes,Monteiro,Bemelmans,5,5,1.92,1.86,,
Pune,Anderson,Monteiro,Paire,Fucsovics,4,4,2.13,1.7,,
Pune,Kukushkin,Djere,Herbert,Bhambri,4,4,2.34,1.59,,
Pune,Paire,Fucsovics,Haase,Jarry,4,4,1.33,3.25,,
Pune,Haase,Jarry,Simon,Bautista,4,4,3.53,1.29,,
Pune,Ojeda,Ivashka,Kukushkin,Djere,4,4,1.35,3.14,,
Pune,Simon,Bautista,Cilic,Ramanathan,4,4,1.08,7.98,,
Pune,Hugues,Bhambri,Ojeda,Ivashka,4,4,2.76,1.43,,
Pune,Cilic,Ramanathan,Anderson,Monteiro,4,4,1.09,7.26,,
Pune,Anderson,Kukushkin,Cilic,Herbert,3,3,1.16,5.05,,
Pune,Paire,Haase,Simon,Ojeda,3,3,1.14,5.52,,
Pune,Simon,Ojeda,Anderson,Kukushkin,3,3,1.22,4.27,,
Pune,Cilic,Hugues,Paire,Haase,3,3,2.16,1.68,,
Pune,Anderson,Paire,Simon,Cilic,2,2,3.35,1.32,,
Pune,Simon,Cilic,Anderson,Paire,2,2,1.3,3.52,,
Pune,Simon,Anderson,Simon,Anderson,1,1,2.75,1.45,,
Auckland,Shapovalov,Dutra,Sousa,Young,5,5,1.76,2.05,,
