"","x"
"1",1
"2",0
"3",0
"4",1
"5",0
"6",1
"7",0
"8",0
"9",0
"10",1
"11",1
"12",0
"13",1
"14",1
"15",1
"16",1
"17",0
"18",0
"19",1
"20",1
"21",1
"22",0
"23",1
"24",0
"25",1
"26",0
"27",0
"28",1
"29",1
"30",0
"31",0
"32",0
"33",0
"34",1
"35",1
"36",0
"37",0
"38",0
"39",1
"40",0
"41",0
"42",0
"43",1
"44",0
"45",0
"46",1
"47",1
"48",0
"49",1
"50",1
"51",1
"52",1
"53",0
"54",0
"55",0
"56",0
"57",1
"58",1
"59",0
"60",1
"61",1
"62",0
"63",0
"64",0
"65",1
"66",1
"67",1
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",1
"77",0
"78",1
"79",0
"80",0
"81",1
"82",1
"83",0
"84",0
"85",1
"86",1
"87",0
"88",0
"89",1
"90",1
"91",1
"92",1
"93",1
