"","tourney_country","home_advan","tourney_name","surface","hard","clay","grass","tourney_level","gs_or_lower","X.3","winner_hand","winner_ioc","winner_age","X.4","loser_hand","loser_ioc","loser_age","left_hand_advan","score","round","round_no","minutes","w_fatigue","l_fatigue","w_SvGms","w_bpSaved","w_bpFaced","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_1stin_pc","w_svptWon_pc","w_rtnsvWon_pc","w_sgWon_pc","w_rtngWon_pc","w_avg_1stin_pc","w_avg_svptWon_pc","w_avg_rtnsvWon_pc","w_avg_sgWon_pc","w_avg_rtngWon_pc","w_avg_1stin_os_pc","w_avg_svptWon_os_pc","w_avg_rtnsvWon_os_pc","w_avg_sgWon_os_pc","w_avg_rtngWon_os_pc","w_avg_1stin_hth_pc","w_avg_svptWon_hth_pc","w_avg_rtnsvWon_hth_pc","w_avg_sgWon_hth_pc","w_avg_rtngWon_hth_pc","w_avg_1stin_hth_os_pc","w_avg_svptWon_hth_os_pc","w_avg_rtnsvWon_hth_os_pc","w_avg_sgWon_hth_os_pc","w_avg_rtngWon_hth_os_pc","l_SvGms","l_bpSaved","l_bpFaced","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_1stin_pc","l_svptWon_pc","l_rtnsvWon_pc","l_sgWon_pc","l_rtngWon_pc","l_avg_1stin_pc","l_avg_svptWon_pc","l_avg_rtnsvWon_pc","l_avg_sgWon_pc","l_avg_rtngWon_pc","l_avg_1stin_os_pc","l_avg_svptWon_os_pc","l_avg_rtnsvWon_os_pc","l_avg_sgWon_os_pc","l_avg_rtngWon_os_pc","l_avg_1stin_hth_pc","l_avg_svptWon_hth_pc","l_avg_rtnsvWon_hth_pc","l_avg_sgWon_hth_pc","l_avg_rtngWon_hth_pc","l_avg_1stin_hth_os_pc","l_avg_svptWon_hth_os_pc","l_avg_rtnsvWon_hth_os_pc","l_avg_sgWon_hth_os_pc","l_avg_rtngWon_hth_os_pc","winner_rank","winner_rank_points","loser_rank","loser_rank_points","w_hth","l_hth","w_hth_os","l_hth_os","w_mw_pc","w_mw_os_pc","l_mw_pc","l_mw_os_pc","win_lose","w_mplayed","l_mplayed","w_mplayed_os","l_mplayed_os","hth_mplayed","hth_mplayed_os","w_co_avg_svptWon_pc","w_co_avg_rtnsvWon_pc","w_co_avg_sgWon_pc","w_co_avg_rtngWon_pc","w_tbwon_pc","l_tbwon_pc","w_tbplayed","l_tbplayed","set1","set2","set3","set4","set5","l_co_avg_svptWon_pc","l_co_avg_rtnsvWon_pc","l_co_avg_sgWon_pc","l_co_avg_rtngWon_pc","w_co_mw_pc","l_co_mw_pc","w_co_mplayed","l_co_mplayed","w_co_avg_svptWon_os_pc","w_co_avg_rtnsvWon_os_pc","w_co_avg_sgWon_os_pc","w_co_avg_rtngWon_os_pc","l_co_avg_svptWon_os_pc","l_co_avg_rtnsvWon_os_pc","l_co_avg_sgWon_os_pc","l_co_avg_rtngWon_os_pc","w_co_mw_os_pc","l_co_mw_os_pc","w_co_mplayed_os","l_co_mplayed_os","Avgoddsw","Averoddsl","AS_home_advan","AS_sur_hard","AS_sur_clay","AS_sur_grass","AS_tournie_level","AS_left_hand_advan","AS_age","AS_fatigue","AS_rank_points","AS_serve.returnpt","AS_return.servept","AS_serve.returng","AS_return.serveg","AS_serve.returnpt_os","AS_return.servept_os","AS_serve.returng_os","AS_return.serveg_os","AS_serve.returnpt_hth","AS_return.servept_hth","AS_serve.returng_hth","AS_return.serveg_hth","AS_serve.returnpt_hth_os","AS_return.servept_hth_os","AS_serve.returng_hth_os","AS_return.serveg_hth_os","AS_serve.returnpt_co","AS_return.servept_co","AS_serve.returng_co","AS_return.serveg_co","AS_serve.returnpt_co_os","AS_return.servept_co_os","AS_serve.returng_co_os","AS_return.serveg_co_os","AS_matchw","AS_matchw_os","AS_hth_matchw","AS_hth_matchw_os","AS_matchw_co","AS_matchw_co_os","AS_tbw","AS_odds","AS_win_lose","AS_win_lose_binary","surface.LR.","AS_rank"
"1","RUS",0,"St. Petersburg","Hard",1,0,0,"A",0,"Damir Dzumhur","R","BIH",26.32717317,"Guido Pella","L","ARG",28.33675565,1,"6-4 6-4","R16",4,77,84,143,10,0,2,56,39,25,10,0.696428571,0.625,0.457627119,0.8,0.4,NA,0.599374245,0.397508515,0.711373975,0.294015479,NA,0.605230953,0.397488686,0.724586026,0.295403401,NA,0,0,0,0,NA,0,0,0,0,10,1,5,59,39,23,9,0.661016949,0.542372881,0.375,0.6,0.2,NA,0.639472754,0.374972613,0.783168237,0.227752598,NA,0.634626466,0.365201124,0.780426957,0.213183955,NA,0,0,0,0,NA,0,0,0,0,28,1395,60,870,0,0,0,0,0.545454545,0.614285714,0.5,0.432432432,"L",99,78,70,37,0,0,0.586855718,0.388209039,0.676951318,0.275233844,0.542857143,0.512820513,35,39,"6-4","6-4","","","",0.629966602,0.382661538,0.765620903,0.26364147,0.4,0.577777778,46,37,0.595907404,0.385398673,0.697153219,0.243411744,0.62541651,0.373925851,0.768361173,0.25100686,0.357142857,0.464285714,17,15,1.68,2.22,0,1,0,0,0,1,2.00958248,59,-525,0.616667603472402,0.384845098971931,0.727051686139674,0.242515337706241,0.61487951685453,0.376328372335945,0.7254182327136,0.227330752017322,0,0,0,0,0,0,0,0,0.618720952095533,0.394692859391458,0.735569401212521,0.2802928890839,0.618724887119152,0.385556846058037,0.759420577572151,0.264730466467994,0.478260869773157,0.41313168559514,0,0,0.590909091002066,0.565217391251418,0.485773768238209,2.22,"L",0,"Hard",-32
"2","AUS",0,"Australian Open","Hard",1,0,0,"G",1,"Pierre Hugues Herbert","R","FRA",27.8275154,"Sam Querrey","R","USA",31.27173169,0,"5-7 7-6(6) 6-3 6-1","R128",7,158,0,0,20,5,7,116,73,56,28,0.629310345,0.724137931,0.391304348,0.9,0.25,NA,0.645598519945206,0.324851137671233,0.809649824479452,0.137363838465753,NA,0.648628356509434,0.324298569679245,0.812899339075472,0.135271711301887,NA,0.706896552,0.237113402,0.882352941,0.058823529,NA,0,0,0,0,20,10,15,138,84,64,20,0.608695652,0.608695652,0.275862069,0.75,0.1,NA,0.687801428010526,0.357507112073684,0.864647528494737,0.214642322515789,NA,0.685631202953846,0.364960284230769,0.8551992104,0.229092275292308,NA,0.762886598,0.293103448,0.941176471,0.117647059,NA,0,0,0,0,55,903,49,975,0,1,0,0,0.452054794520548,0.452830188679245,0.568421052631579,0.569230769230769,"W",73,95,53,65,1,0,0.632541377269231,0.315172017698718,0.785290553160256,0.121509148025641,0.509803921568627,0.410714285714286,51,56,"5-7","7-6(6)","6-3","6-1","",0.6883693835,0.36130265773718,0.876796939269231,0.227723031865385,0.423076923076923,0.615384615384615,37,38,0.6366090122,0.307762702333333,0.791742848666667,0.107737469533333,0.678125605444444,0.373597916522222,0.866908965977778,0.2740473224,0.433333333333333,0.688888888888889,21,23,2.69,1.48,0,1,0,0,1,0,-3.44421629,0,-72,0.643599735997742,0.32079229212492,0.790448142021354,0.137088103982726,0.639932543083508,0.321110020188565,0.780140001000577,0.136573127325591,0.706896552,0.237113402,0.882352941,0.058823529,0,0,0,0,0.636459399049621,0.314059805925544,0.77520239093376,0.121715323157947,0.630176842090388,0.312167919941195,0.742869347232085,0.110540053918973,0.442984315387876,0.443055950014201,0,0,0.407407407407407,0.386138613861386,0.553822746291366,2.69,"W",1,"Hard",-6
"3","BUL",0,"Sofia","Hard",1,0,0,"A",0,"Gilles Muller","L","LUX",33.74948665,"Mikhail Youzhny","R","RUS",34.6201232,1,"6-3 7-5","R16",4,81,83,88,11,1,3,57,40,29,9,0.701754386,0.666666667,0.444444444,0.818181818,0.4,NA,0.693341053,0.329400107,0.873192169,0.165194083,NA,0.689755937,0.339014961,0.880334261,0.174365942,NA,0.708001769,0.30332871,0.941176471,0.123161765,NA,0,0,0,0,10,5,9,72,44,28,12,0.611111111,0.555555556,0.333333333,0.6,0.181818182,NA,0.617019439,0.36427756,0.743737424,0.22186136,NA,0.602310519,0.382596638,0.72007227,0.250710626,NA,0.69667129,0.291998232,0.876838236,0.05882353,NA,0,0,0,0,29,1370,89,627,1,0,0,0,0.566037736,0.541666667,0.432835821,0.486486486,"W",106,67,72,37,2,0,0.694384906,0.320574062,0.873786084,0.147068018,0.5375,0.619047619,80,21,"6-3","7-5","","","",0.602076592,0.326165774,0.705431606,0.147675296,0.503472222,0.229166667,33,29,0.690109675,0.327712012,0.886733459,0.154766942,0.591031533,0.345814643,0.696803091,0.167002439,0.371794872,0.230769231,19,16,1.31,3.36,0,1,0,0,0,1,-0.87063655,-5,743,0.655568126806407,0.348048715173091,0.797396790088788,0.181745358949253,0.643217494954959,0.360146376787761,0.778337156304213,0.194944647557164,0.708001768291998,0.30332871,0.941176470058823,0.123161764876838,0,0,0,0,0.680402178557169,0.347449016169017,0.855427430844228,0.172513880193805,0.666177695618108,0.356695852486234,0.84151395115515,0.181743058119097,0.566676064285882,0.526834611574644,1,0,0.687203791061656,0.617021276489814,0.464745239339773,1.31,"W",1,"Hard",60
"4","USA",-1,"Miami Masters","Hard",1,0,0,"M",1,"Steve Johnson","R","USA",28.23271732,"Adrian Mannarino","L","FRA",29.71937029,1,"6-3 6-3","R64",6,71,80,0,9,2,2,55,33,26,13,0.6,0.709090909,0.433962264,1,0.333333333,NA,0.666829816,0.335727137,0.838318919,0.175272398,NA,0.668546973,0.327605358,0.84276005,0.156906694,NA,0.691341829,0.366143318,0.933333334,0.218253968,NA,0.74137931,0.351851852,1,0.222222222,9,2,5,53,36,23,7,0.679245283,0.566037736,0.290909091,0.666666667,0,NA,0.619478517,0.380256611,0.754561359,0.253392249,NA,0.615301131,0.379918636,0.752568723,0.257636112,NA,0.633856683,0.308658171,0.781746032,0.066666667,NA,0.648148148,0.25862069,0.777777778,0,54,940,22,1735,1,0,1,0,0.538461538,0.492307692,0.513513514,0.5,"L",104,111,65,72,2,1,0.651688343,0.32921174,0.821686162,0.157358064,0.559322034,0.425531915,59,47,"6-3","6-3","","","",0.603181993,0.371858247,0.729683495,0.230428422,0.452991453,0.482905983,58,58,0.65906426,0.32054033,0.837923423,0.131815615,0.597827914,0.359583355,0.724457387,0.203049484,0.409090909,0.409090909,28,27,1.86,1.95,-1,1,0,0,1,1,1.48665297,-80,795,0.648528947044947,0.363156852380821,0.811501360667421,0.232105575565569,0.652557955829276,0.362356793335698,0.827475607292858,0.234130325874401,0.633856682366143,0.308658171,0.781746032,0.0666666669333333,0.648148148,0.25862069,0.777777778,0,0.6469176825752,0.363303684104893,0.822603504420473,0.219014568854223,0.650967537157132,0.353000733231973,0.846058891624379,0.195057414688315,0.488142292940993,0.503875969148489,0,0,0.515981735203728,0.5,0.432076162594541,1.95,"L",0,"Hard",32
"5","ZEA",0,"Auckland","Hard",1,0,0,"A",0,"Jan Lennard Struff","R","GER",28.70362765,"Pablo Carreno Busta","R","ESP",27.49075975,0,"7-6(5) 6-7(6) 7-6(7)","QF",3,179,63,0,18,2,4,125,80,66,20,0.64,0.688,0.358108108,0.888888889,0.111111111,NA,0.64935821709901,0.350920988336634,0.803796741920792,0.193617957920792,NA,0.655219723089286,0.34318369175,0.817290866392857,0.196444298875,NA,0.577464789,0.232142857,0.727272727,0.090909091,NA,0.577464789,0.232142857,0.727272727,0.090909091,18,13,15,148,104,72,23,0.702702703,0.641891892,0.312,0.888888889,0.111111111,NA,0.629491017524272,0.382622786067961,0.775737001747573,0.26633011923301,NA,0.633860584962264,0.367699391358491,0.786673116,0.245330700886792,NA,0.767857143,0.422535211,0.909090909,0.272727273,NA,0.767857143,0.422535211,0.909090909,0.272727273,58,855,24,1705,0,1,0,1,0.485148514851485,0.5,0.592233009708738,0.547169811320755,"L",101,103,56,53,1,1,0.637357514467742,0.345196844908602,0.780986216948925,0.180819747005376,0.456140350877193,0.608695652173913,57,46,"7-6(5)","6-7(6)","7-6(7)","","",0.622081066360215,0.377500878956989,0.758201928534946,0.253327133594086,0.403225806451613,0.524193548387097,44,54,0.6706686952,0.3178416231,0.841135843022222,0.129877908088889,0.618168088911111,0.360193078155556,0.77057907265,0.23571387545,0.411111111111111,0.405555555555556,20,23,1.8,2.02,0,1,0,0,0,0,-1.2128679,-63,850,0.642067838583343,0.370765338599992,0.800261033391697,0.2488771461599,0.648753183525309,0.359460866616999,0.800182261139197,0.230873067553906,0.767857143,0.422535211,0.909090909,0.272727273,0.767857143,0.422535211,0.909090909,0.272727273,0.643125475225839,0.3719739437569,0.807438154288259,0.244923004678505,0.660429139760649,0.349409675928803,0.855764449754929,0.218892080674375,0.54969664525339,0.522522522522523,1,1,0.565217391304348,0.496598639455782,0.57163323782235,2.02,"L",0,"Hard",34
"6","CHN",0,"Shenzhen","Hard",1,0,0,"A",0,"Donald Young","L","USA",28.17522245,"Jeremy Chardy","R","FRA",30.61738535,-1,"7-6(5) 6-4","R16",4,95,110,113,11,1,3,65,42,31,12,0.646153846,0.661538462,0.426666667,0.818181818,0.272727273,NA,0.619640077,0.357086925,0.757841929,0.209470338,NA,0.620085872,0.36739553,0.75890489,0.215240301,NA,0.65625,0.492957746,0.888888889,0.444444444,NA,0.65625,0.492957746,0.888888889,0.444444444,11,3,6,75,40,27,16,0.533333333,0.573333333,0.338461538,0.727272727,0.181818182,NA,0.647936419,0.365842426,0.782053257,0.214441631,NA,0.653945229,0.364612246,0.797463161,0.222656332,NA,0.507042254,0.34375,0.555555556,0.111111111,NA,0.507042254,0.34375,0.555555556,0.111111111,61,830,86,620,1,0,1,0,0.475609756,0.491525424,0.44,0.441860465,"L",82,75,59,43,1,1,0.62228618,0.342970411,0.768206666,0.181881679,0.607142857,0.388888889,28,36,"7-6(5)","6-4","","","",0.635262425,0.342602072,0.774528975,0.163077839,0.420289855,0.282608696,36,30,0.619755601,0.370364201,0.774345088,0.218265387,0.641060979,0.333541958,0.787588284,0.159188133,0.5,0.214285714,21,16,1.81,1.99,0,1,0,0,0,-1,2.4421629,3,-210,0.644697879773825,0.371231782285636,0.788738927589514,0.220554619888873,0.640281143425903,0.370278199313061,0.787459696666861,0.226838965323347,0.507042254,0.34375,0.555555556,0.111111111,0.507042254,0.34375,0.555555556,0.111111111,0.64939797727256,0.35506917126399,0.809828886536013,0.17511065428926,0.633819477383389,0.349882316230708,0.783004831326007,0.170522193981997,0.480554075703842,0.473395270067127,0,0,0.40206185600744,0.29999999972,0.39043824713595,1.99,"L",0,"Hard",-25
"7","MONA",0,"Monte Carlo Masters","Clay",0,1,0,"M",1,"Pablo Carreno Busta","R","ESP",25.76591376,"Fabio Fognini","R","ITA",29.90006845,0,"7-6(0) 6-7(4) 6-3","R64",6,143,0,0,17,5,10,107,78,51,16,0.728971963,0.626168224,0.449541284,0.705882353,0.375,NA,0.637799724,0.390500238,0.780271525,0.274684477,NA,0.640048881,0.414625423,0.781540787,0.331023947,NA,0.696836848,0.504268738,0.891534392,0.443019943,NA,0.716981132,0.525423729,0.888888889,0.444444444,16,10,16,109,62,39,21,0.568807339,0.550458716,0.373831776,0.625,0.294117647,NA,0.61332299,0.396264174,0.741760089,0.2930461,NA,0.61922584,0.412239608,0.739788075,0.319346583,NA,0.495731262,0.303163152,0.556980057,0.108465608,NA,0.474576271,0.283018868,0.555555556,0.111111111,19,2025,29,1385,1,0,1,0,0.558558559,0.596491228,0.567307692,0.591836735,"L",111,104,57,49,3,1,0.617859622,0.387941268,0.721559518,0.266765817,0.520833333,0.5,48,36,"7-6(0)","6-7(4)","6-3","","",0.616868306,0.391574527,0.741301724,0.289542154,0.485416667,0.573611111,42,52,0.57750939,0.416224759,0.637842006,0.324883702,0.591373034,0.387567331,0.669116028,0.268162519,0.484848485,0.46969697,16,18,1.69,2.14,0,0,1,0,1,0,4.13415469,0,-640,0.610987047213456,0.383210529606943,0.729759510564396,0.273028312564978,0.598950605528254,0.391755314544736,0.69086642641373,0.29008106705775,0.495731262,0.303163152,0.556980057,0.108465608,0.474576271,0.283018868,0.555555556,0.111111111,0.613915633331734,0.387914880220681,0.735369103606521,0.286363045397081,0.586913784556096,0.401592249161712,0.673155140595461,0.295983642024304,0.503885511708087,0.498041578947512,0,0,0.541639344043722,0.492063492146636,0.48979591852728,2.14,"L",0,"Clay",-10
"8","FRA",0,"Paris Masters","Hard",1,0,0,"A",0,"Stefanos Tsitsipas","R","GRE",21.21013005,"Alex De Minaur","R","AUS",20.69267625,0,"6-3 6-4","R16",4,69,73,206,10,1,2,45,34,29,9,0.755555556,0.844444444,0.431034483,0.9,0.333333333,NA,0.67524974689781,0.356374881824818,0.850392077094891,0.207996709255474,NA,0.685528002264368,0.339135703505747,0.856835369494253,0.183253240252874,NA,0.634146341,0.476635514,0.785714286,0.428571429,NA,0.634146341,0.476635514,0.785714286,0.428571429,9,2,5,58,36,23,10,0.620689655,0.568965517,0.155555556,0.666666667,0.1,NA,0.65271663934066,0.376912642208791,0.807521712824176,0.233950319582418,NA,0.661400277054795,0.384804308150685,0.825397143780822,0.24787574230137,NA,0.523364486,0.365853659,0.571428571,0.214285714,NA,0.523364486,0.365853659,0.571428571,0.214285714,7,3830,18,1695,1,0,1,0,0.642335766423358,0.632183908045977,0.604395604395604,0.671232876712329,"L",137,91,87,73,1,1,0.677917251534409,0.358610743783871,0.857146149191398,0.220660756530645,0.584415584415584,0.6,77,50,"6-3","6-4","","","",0.621920091494624,0.379160539376344,0.742689015655914,0.232220580876344,0.651612903225806,0.575268817204301,55,46,0.684883429219697,0.340718097030303,0.854083816609849,0.196581424325758,0.639389723939394,0.391499086409091,0.784354575151515,0.253142692454545,0.617424242424242,0.659090909090909,37,31,1.6,2.34,0,1,0,0,0,0,-0.517453799999998,133,-2135,0.646835916911468,0.358226682602512,0.795181746846577,0.215753179345656,0.661045969265644,0.359518538687733,0.818318375570309,0.224380600190096,0.523364486,0.365853659,0.571428571,0.214285714,0.523364486,0.365853659,0.571428571,0.214285714,0.634268774747898,0.358687451989383,0.770944299877913,0.213170252465764,0.652366719517446,0.363717433834746,0.79959811401507,0.228627738210902,0.484784147204529,0.51497946363856,0,0,0.468886941279579,0.516320474777448,0.506578947368421,2.34,"L",0,"Hard",-11
"9","USA",0,"US Open","Hard",1,0,0,"G",1,"Rafael Nadal","L","ESP",31.23613963,"Kevin Anderson","R","RSA",31.27994524,1,"6-3 6-3 6-4","F",1,147,851,908,14,0,0,72,45,38,19,0.625,0.791666667,0.416666667,1,0.285714286,NA,0.680141564,0.432748679,0.856240831,0.357872047,NA,0.674727286,0.407905355,0.852436469,0.307329814,NA,0.764848743,0.356297288,0.977777778,0.213756614,NA,0.739109849,0.318229716,0.966666667,0.20952381,14,5,9,108,64,47,16,0.592592593,0.583333333,0.208333333,0.714285714,0,NA,0.69208957,0.33734857,0.878806907,0.155803427,NA,0.68942735,0.340884803,0.878624998,0.161477933,NA,0.643702712,0.235151257,0.786243386,0.022222222,NA,0.681770285,0.260890152,0.790476191,0.033333334,1,7645,32,1360,1,0,1,0,0.80620155,0.753246753,0.569892473,0.573770492,"W",129,93,77,61,3,2,0.669448176,0.438268612,0.846515043,0.376138423,0.534883721,0.565217391,43,69,"6-3","6-3","6-4","","",0.679384702,0.332951565,0.856219647,0.150161909,0.846666667,0.561904762,70,59,0.67921612,0.415296271,0.867708281,0.324229956,0.677039784,0.339863784,0.853248545,0.163651926,0.793333333,0.593333333,36,36,1.13,6.35,0,1,0,0,1,1,-0.0438056099999997,-57,6285,0.668450279047128,0.384720807089127,0.846050777158799,0.289381529331015,0.664355311745408,0.371724412424216,0.84073810108479,0.259141251327879,0.764848743,0.356297288,0.977777778,0.213756614,0.73910984826089,0.31822971568177,0.966666666033333,0.209523809790476,0.66784551972465,0.392132879230205,0.849337432054915,0.305218452458383,0.666499375891922,0.380190939499841,0.841324180544034,0.275359554951229,0.585862256884463,0.567623936944391,1,1,0.60108181208892,0.572115384650055,0.486213235461215,1.13,"W",1,"Hard",31
"10","USA",0,"Winston-Salem","Hard",1,0,0,"A",0,"Roberto Bautista Agut","R","ESP",29.35249829,"Damir Dzumhur","R","BIH",25.25393566,0,"6-4 6-4","F",1,91,315,450,10,0,3,50,28,19,12,0.56,0.62,0.481481481,0.7,0.5,NA,0.649719869,0.400020881,0.804422376,0.279203119,NA,0.660944804,0.400415237,0.822400947,0.277134983,NA,0,0,0,0,NA,0,0,0,0,10,8,13,81,53,30,12,0.654320988,0.518518519,0.38,0.5,0.3,NA,0.596836315,0.392145319,0.704044878,0.286101241,NA,0.59828098,0.383693459,0.697391667,0.275395576,NA,0,0,0,0,NA,0,0,0,0,15,2425,67,725,0,0,0,0,0.671641791,0.692307692,0.486486486,0.52173913,"L",134,74,91,46,0,0,0.638929575,0.397626972,0.791192823,0.260694258,0.583333333,0.357142857,60,28,"6-4","6-4","","","",0.590245376,0.388872447,0.688638819,0.281379511,0.588235294,0.441176471,53,45,0.644939372,0.411482722,0.798511935,0.306139742,0.586606417,0.384921761,0.67425567,0.284622946,0.6,0.55,26,25,1.21,4.49,0,1,0,0,0,0,-4.09856263,135,-1700,0.598717968225411,0.37638777407735,0.716039981925333,0.262352173341332,0.5990620268866,0.367297917939657,0.715620929401982,0.25086213176137,0,0,0,0,0,0,0,0,0.597491545537218,0.37835345589542,0.725392210262152,0.262340825024487,0.587729486354024,0.373760838880012,0.687738499943123,0.262777010502351,0.420062695697396,0.429752066020399,0,0,0.42857142884898,0.478260869565217,0.379746835483416,4.49,"L",0,"Hard",-52
