"","tourney_country","home_advan","tourney_name","surface","hard","clay","grass","tourney_level","gs_or_lower","X.3","winner_hand","winner_ioc","winner_age","X.4","loser_hand","loser_ioc","loser_age","left_hand_advan","score","round","round_no","minutes","w_fatigue","l_fatigue","w_SvGms","w_bpSaved","w_bpFaced","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_1stin_pc","w_svptWon_pc","w_rtnsvWon_pc","w_sgWon_pc","w_rtngWon_pc","w_avg_1stin_pc","w_avg_svptWon_pc","w_avg_rtnsvWon_pc","w_avg_sgWon_pc","w_avg_rtngWon_pc","w_avg_1stin_os_pc","w_avg_svptWon_os_pc","w_avg_rtnsvWon_os_pc","w_avg_sgWon_os_pc","w_avg_rtngWon_os_pc","w_avg_1stin_hth_pc","w_avg_svptWon_hth_pc","w_avg_rtnsvWon_hth_pc","w_avg_sgWon_hth_pc","w_avg_rtngWon_hth_pc","w_avg_1stin_hth_os_pc","w_avg_svptWon_hth_os_pc","w_avg_rtnsvWon_hth_os_pc","w_avg_sgWon_hth_os_pc","w_avg_rtngWon_hth_os_pc","l_SvGms","l_bpSaved","l_bpFaced","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_1stin_pc","l_svptWon_pc","l_rtnsvWon_pc","l_sgWon_pc","l_rtngWon_pc","l_avg_1stin_pc","l_avg_svptWon_pc","l_avg_rtnsvWon_pc","l_avg_sgWon_pc","l_avg_rtngWon_pc","l_avg_1stin_os_pc","l_avg_svptWon_os_pc","l_avg_rtnsvWon_os_pc","l_avg_sgWon_os_pc","l_avg_rtngWon_os_pc","l_avg_1stin_hth_pc","l_avg_svptWon_hth_pc","l_avg_rtnsvWon_hth_pc","l_avg_sgWon_hth_pc","l_avg_rtngWon_hth_pc","l_avg_1stin_hth_os_pc","l_avg_svptWon_hth_os_pc","l_avg_rtnsvWon_hth_os_pc","l_avg_sgWon_hth_os_pc","l_avg_rtngWon_hth_os_pc","winner_rank","winner_rank_points","loser_rank","loser_rank_points","w_hth","l_hth","w_hth_os","l_hth_os","w_mw_pc","w_mw_os_pc","l_mw_pc","l_mw_os_pc","win_lose","w_mplayed","l_mplayed","w_mplayed_os","l_mplayed_os","hth_mplayed","hth_mplayed_os","w_co_avg_svptWon_pc","w_co_avg_rtnsvWon_pc","w_co_avg_sgWon_pc","w_co_avg_rtngWon_pc","w_tbwon_pc","l_tbwon_pc","w_tbplayed","l_tbplayed","set1","set2","set3","set4","set5","l_co_avg_svptWon_pc","l_co_avg_rtnsvWon_pc","l_co_avg_sgWon_pc","l_co_avg_rtngWon_pc","w_co_mw_pc","l_co_mw_pc","w_co_mplayed","l_co_mplayed","w_co_avg_svptWon_os_pc","w_co_avg_rtnsvWon_os_pc","w_co_avg_sgWon_os_pc","w_co_avg_rtngWon_os_pc","l_co_avg_svptWon_os_pc","l_co_avg_rtnsvWon_os_pc","l_co_avg_sgWon_os_pc","l_co_avg_rtngWon_os_pc","w_co_mw_os_pc","l_co_mw_os_pc","w_co_mplayed_os","l_co_mplayed_os","Avgoddsw","Averoddsl","AS_home_advan","AS_sur_hard","AS_sur_clay","AS_sur_grass","AS_tournie_level","AS_left_hand_advan","AS_age","AS_fatigue","AS_rank_points","AS_serve.returnpt","AS_return.servept","AS_serve.returng","AS_return.serveg","AS_serve.returnpt_os","AS_return.servept_os","AS_serve.returng_os","AS_return.serveg_os","AS_serve.returnpt_hth","AS_return.servept_hth","AS_serve.returng_hth","AS_return.serveg_hth","AS_serve.returnpt_hth_os","AS_return.servept_hth_os","AS_serve.returng_hth_os","AS_return.serveg_hth_os","AS_serve.returnpt_co","AS_return.servept_co","AS_serve.returng_co","AS_return.serveg_co","AS_serve.returnpt_co_os","AS_return.servept_co_os","AS_serve.returng_co_os","AS_return.serveg_co_os","AS_matchw","AS_matchw_os","AS_hth_matchw","AS_hth_matchw_os","AS_matchw_co","AS_matchw_co_os","AS_tbw","AS_odds","AS_win_lose","AS_win_lose_binary","surface.LR.","AS_rank"
"1","USA",0,"Washington","Hard",1,0,0,"A",0,"Lloyd Harris","R","RSA",22.42299795,"Ricardas Berankis","R","LTU",29.10335387,0,"4-6 6-3 6-1","R64",6,113,0,0,13,0,1,78,49,38,15,0.628205128,0.679487179,0.38028169,0.923076923,0.307692308,NA,0.578750640857143,0.317707320857143,0.638359358928572,0.178855668214286,NA,0.573159676777778,0.326201762444444,0.625867805111111,0.176999389555556,NA,0,0,0,0,NA,0,0,0,0,13,5,9,71,35,26,18,0.492957746,0.61971831,0.320512821,0.692307692,0.076923077,NA,0.604782666051282,0.335895415923077,0.724058566846154,0.182789801128205,NA,0.6087156500625,0.34676420965625,0.72911845625,0.199068698375,NA,0,0,0,0,NA,0,0,0,0,85,647,78,749,0,0,0,0,0.214285714285714,0.222222222222222,0.384615384615385,0.40625,"W",14,39,9,32,0,0,0.568439407,0.3798527445,0.556818182,0.25,0.166666666666667,0.428571428571429,6,21,"4-6","6-3","6-1","","",0.55136046125,0.37942890425,0.6452991455,0.25992063475,0.5,0.25,2,3,0.568439407,0.3798527445,0.556818182,0.25,0.55136046125,0.37942890425,0.6452991455,0.25992063475,0.5,0.25,2,3,1.97,1.83,0,1,0,0,0,0,-6.68035592,0,-102,0.632759127497349,0.344401918032614,0.777397566703269,0.198087106470653,0.623051195028277,0.348909709115105,0.758686035187251,0.195338156482505,0,0,0,0,0,0,0,0,0.599702933681126,0.40791168140068,0.681757950743315,0.279236276786997,0.599702933681126,0.40791168140068,0.681757950743315,0.279236276786997,0.357798165137615,0.353591160220994,0,0,0.666666666666667,0.666666666666667,0.28,1.97,"W",1,"Hard",-7
"2","CRO",0,"Umag","Clay",0,1,0,"A",0,"Dusan Lajovic","R","SRB",29.0403833,"Andrey Rublev","R","RUS",21.73305955,0,"6-4 6-3","R16",4,69,0,72,10,0,1,50,36,29,9,0.72,0.76,0.411764706,0.9,0.333333333,NA,0.625995604613636,0.3625121265,0.762769116147727,0.224604098761364,NA,0.635479633931818,0.38735941325,0.796164977727273,0.260427396477273,NA,0,0,0,0,NA,0,0,0,0,9,2,5,51,30,18,12,0.588235294,0.588235294,0.24,0.666666667,0.1,NA,0.614551343369863,0.389366536589041,0.751072917479452,0.24683832930137,NA,0.617913916166667,0.409200442333333,0.765277777833333,0.250052609333333,NA,0,0,0,0,NA,0,0,0,0,36,1251,76,741,0,0,0,0,0.465909090909091,0.522727272727273,0.506849315068493,0.583333333333333,"L",88,73,44,12,0,0,0.610841475438271,0.376413097796296,0.715629655037037,0.249313950222222,0.4,0.392857142857143,35,28,"6-4","6-3","","","",0.585153128160494,0.370654038123457,0.698475523481481,0.20666164508642,0.419753086419753,0.339506172839506,35,37,0.601097687777778,0.360665542,0.706327160666667,0.208950617333333,0.557439865166667,0.388386708166667,0.634259259333333,0.190972222333333,0.111111111111111,0.166666666666667,5,4,1.97,1.83,0,0,1,0,0,0,-7.30732375,72,-510,0.628977914251278,0.383475531328993,0.769796669366323,0.2444894106259,0.614672545351647,0.391699288260834,0.746099168650182,0.239006314198815,0,0,0,0,0,0,0,0,0.608541681648861,0.377642111453366,0.736952184910884,0.224074156460932,0.607163252514722,0.392514232420976,0.752196193242724,0.212829994037044,0.52104336693871,0.527397260273973,0,0,0.447154471544715,0.6,0.495495495495495,1.83,"L",0,"Clay",-40
"3","USA",0,"US Open","Hard",1,0,0,"G",1,"Egor Gerasimov","R","BLR",26.7871321,"Lloyd Harris","R","RSA",22.49965777,0,"7-5 7-6(5) 7-6(3)","R128",7,160,0,0,20,4,5,123,73,58,28,0.593495935,0.699186992,0.366412214,0.95,0.111111111,NA,0.6162116015,0.3479355668,0.7336507937,0.1592948718,NA,0.634174506666667,0.344267031888889,0.778130511555556,0.149216524222222,NA,0,0,0,0,NA,0,0,0,0,18,8,10,131,85,67,16,0.648854962,0.633587786,0.300813008,0.888888889,0.05,NA,0.585287547529412,0.322426200352941,0.663829879294118,0.182199173470588,NA,0.583818035583333,0.330763231333333,0.66507393075,0.182200091666667,NA,0,0,0,0,NA,0,0,0,0,129,406,100,535,0,0,0,0,0.5,0.555555555555556,0.294117647058824,0.333333333333333,"L",10,17,9,12,0,0,0.707907228666667,0.354044463,0.962962963,0.111111111,0.6,0.285714285714286,5,7,"7-5","7-6(5)","7-6(3)","","",0.619344809,0.33064355,0.760119047666667,0.191071428666667,1,0,3,3,0.707907228666667,0.354044463,0.962962963,0.111111111,0.619344809,0.33064355,0.760119047666667,0.191071428666667,1,0,3,3,1.58,2.39,0,1,0,0,1,0,-4.28747433,0,129,0.627167864300043,0.343504384456334,0.806475419930865,0.198939979256069,0.629056598414463,0.342781941577803,0.816752703766726,0.189726424478535,0,0,0,0,0,0,0,0,0.636276592331295,0.318370133451244,0.872466408681209,0.165568227469131,0.636276592331295,0.318370133451244,0.872466408681209,0.165568227469131,0.37037037037037,0.375,0,0,0,0,0.32258064516129,2.39,"L",0,"Hard",29
"4","USA",-1,"Atlanta","Hard",1,0,0,"A",0,"Ryan Harrison","R","USA",25.2128679,"Kyle Edmund","R","GBR",22.54072553,0,"6-7(5) 6-3 6-4","SF",2,122,220,293,16,2,3,90,58,49,17,0.644444444,0.733333333,0.355555556,0.9375,0.2,NA,0.645346553,0.346044888,0.791852725,0.199941386,NA,0.664694759,0.365364298,0.82302622,0.241065788,NA,0,0,0,0,NA,0,0,0,0,15,4,7,90,58,42,16,0.644444444,0.644444444,0.266666667,0.8,0.0625,NA,0.647105095,0.366663067,0.799521907,0.218967722,NA,0.653218256,0.36836063,0.810826788,0.214612908,NA,0,0,0,0,NA,0,0,0,0,42,983,45,933,0,0,0,0,0.470588235,0.555555556,0.507692308,0.552631579,"L",51,65,36,38,0,0,0.646994013,0.370698778,0.807393616,0.24223101,0.444444444,0.571428571,27,28,"6-7(5)","6-3","6-4","","",0.656399915,0.357750066,0.810723434,0.188799533,0.558823529,0.441176471,22,20,0.659762564,0.377663612,0.811658868,0.267742728,0.668699019,0.370317149,0.844368604,0.226662898,0.541666667,0.583333333,15,12,2.03,1.78,-1,1,0,0,0,0,-2.67214237,73,-50,0.651568349269156,0.362311839486269,0.79995124643362,0.216623756127877,0.641301241057777,0.356573939715443,0.77082660957957,0.20682807944382,0,0,0,0,0,0,0,0,0.639081637892806,0.356060885032595,0.769951101512232,0.189521011251203,0.639070050084768,0.359503390200249,0.759248269219147,0.218297357738333,0.518963922601494,0.49868073861009,0,0,0.441176471,0.518518518222222,0.562500000061523,1.78,"L",0,"Hard",-3
"5","USA",0,"Indian Wells Masters","Hard",1,0,0,"M",1,"Stephane Robert","R","FRA",36.80219028,"Dudi Sela","R","ISR",31.92060233,0,"6-4 6-4","R128",7,73,0,0,10,5,7,61,27,18,19,0.442622951,0.606557377,0.462686567,0.8,0.4,NA,0.575773997,0.371265314,0.672335891,0.212417389,NA,0.55995943,0.37788893,0.663009411,0.219608566,NA,0,0,0,0,NA,0,0,0,0,10,9,13,67,36,27,9,0.537313433,0.537313433,0.393442623,0.6,0.2,NA,0.600249874,0.382229428,0.703107925,0.235355378,NA,0.598146694,0.375321293,0.692652485,0.232635935,NA,0,0,0,0,NA,0,0,0,0,81,660,78,686,0,0,0,0,0.341463415,0.285714286,0.395348837,0.347826087,"L",41,43,21,23,0,0,0.579385959,0.368983442,0.66040636,0.199778396,0.285714286,0.636363636,14,11,"6-4","6-4","","","",0.629367175,0.381240369,0.786315153,0.18492867,0.357142857,0.285714286,9,9,0.54120642,0.372249744,0.622222222,0.227513228,0.622980072,0.366028809,0.780808081,0.157575758,0.333333333,0.333333333,3,3,3.83,1.26,0,1,0,0,1,0,-4.88158795,0,26,0.617849192080773,0.398985450391266,0.767983052186802,0.259290119931736,0.612832850863239,0.401292664084984,0.759270040347256,0.259741130838188,0,0,0,0,0,0,0,0,0.630406957518813,0.396866458775633,0.79740421565216,0.218763760446553,0.62596604521342,0.403455242146467,0.774364355915838,0.202072539351795,0.536566589286303,0.54901960762649,0,0,0.444444444790123,0.5,0.690140844734378,1.26,"L",0,"Hard",3
"6","ITA",0,"Rome Masters","Clay",0,1,0,"M",1,"Jiri Vesely","L","CZE",23.84668036,"Daniel Evans","R","GBR",26.97878166,-1,"6-3 6-1","R64",6,76,0,0,8,8,8,53,34,26,10,0.641509434,0.679245283,0.520833333,1,0.5,NA,0.653600198,0.348414456,0.811295224,0.1926813,NA,0.639522832,0.371235067,0.791792953,0.223298728,NA,0,0,0,0,NA,0,0,0,0,8,4,8,48,30,17,6,0.625,0.479166667,0.320754717,0.5,0,NA,0.635079442,0.380027062,0.780011692,0.246343688,NA,0.603955475,0.385523461,0.676666667,0.215,NA,0,0,0,0,NA,0,0,0,0,62,815,56,844,0,0,0,0,0.5,0.548387097,0.558823529,0.4,"L",88,34,31,5,0,0,0.622309631,0.311176217,0.772090804,0.12699971,0.490909091,0.666666667,55,21,"6-3","6-1","","","",0.601257808,0.379101157,0.728742797,0.246540497,0.277777778,0.458333333,16,13,0.68306288,0.401587302,0.9,0.286363637,0.694915254,0.422535211,0.9,0.3,1,1,2,1,1.51,2.53,0,0,1,0,1,-1,3.1321013,0,29,0.645738060288403,0.367663544399942,0.801909439479132,0.232918518035766,0.61932048044822,0.376103463455967,0.751880762037523,0.213549369172035,0,0,0,0,0,0,0,0,0.658960310034471,0.3785670791076,0.851591210018039,0.242031141943085,0.633756164267437,0.382177949147707,0.75862068924825,0.25,0.527777777594136,0.421768707382572,0,0,0.622641509075116,0.5,0.575916230443381,2.53,"L",0,"Clay",6
"7","ESP",0,"Madrid Masters","Clay",0,1,0,"M",1,"Dusan Lajovic","R","SRB",27.85215606,"Richard Gasquet","R","FRA",31.88501027,0,"7-6(1) 7-6(1)","R32",5,116,60,76,12,0,0,85,62,47,15,0.729411765,0.729411765,0.348314607,1,0,NA,0.634805201,0.347075123,0.784840599,0.195009286,NA,0.623158581,0.376571158,0.776224193,0.232921811,NA,0,0,0,0,NA,0,0,0,0,12,6,6,89,59,41,17,0.662921348,0.651685393,0.270588235,1,0,NA,0.645925064,0.403968005,0.799016098,0.305493108,NA,0.636368096,0.431884902,0.786500556,0.378587272,NA,0,0,0,0,NA,0,0,0,0,95,639,29,1430,0,0,0,0,0.442857143,0.481481481,0.64,0.692307692,"L",70,100,27,26,0,0,0.626270694,0.348779778,0.766103334,0.208035889,0.3125,0.542857143,32,35,"7-6(1)","7-6(1)","","","",0.639722077,0.399623656,0.79645954,0.294747446,0.402298851,0.649425287,36,43,0.593164824,0.389701668,0.726666667,0.260952381,0.621565155,0.501701308,0.792867133,0.516523476,0.4,1,5,5,3.3,1.34,0,0,1,0,1,0,4.03285421,16,791,0.650478290393313,0.388889511845957,0.803818605501527,0.280183127457876,0.62823915006457,0.409352703427864,0.7715158912145,0.327834701571828,0,0,0,0,0,0,0,0,0.647163253932386,0.389536852405903,0.792895136210719,0.277840627123826,0.614640113631019,0.458230730987667,0.752374692693345,0.415482280734267,0.59102902366873,0.589805825377127,0,0,0.617486338418526,0.714285714285714,0.634655532420099,1.34,"L",0,"Clay",66
"8","AUS",1,"Brisbane","Hard",1,0,0,"A",0,"John Millman","R","AUS",28.55030801,"Peter Polansky","R","CAN",29.54688569,0,"7-6(4) 6-0","R32",5,95,0,0,9,1,1,57,37,27,17,0.649122807,0.771929825,0.445945946,1,0.333333333,NA,0.608915355,0.369856384,0.731572942,0.244397825,NA,0.612720183,0.384753909,0.739159542,0.270712734,NA,0,0,0,0,NA,0,0,0,0,9,7,10,74,43,24,17,0.581081081,0.554054054,0.228070175,0.666666667,0,NA,0.615695069,0.350426913,0.741862304,0.206858766,NA,0.615695069,0.350426913,0.741862304,0.206858766,NA,0,0,0,0,NA,0,0,0,0,128,436,137,404,0,0,0,0,0.466666667,0.485714286,0.375,0.375,"W",45,8,35,8,0,0,0,0,0,0,0.4,0.4,20,5,"7-6(4)","6-0","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,3.27,1,1,0,0,0,0,-0.996577680000001,0,32,0.634721699763572,0.375278614702626,0.779569718034293,0.247802600768017,0.636164699602645,0.38458124048381,0.781337460120275,0.267350787685525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554455445721008,0.564315352841721,0,0,0,0,0.5,1.33,"W",1,"Hard",9
"9","CHN",0,"Shenzhen","Hard",1,0,0,"A",0,"Yoshihito Nishioka","L","JPN",22.99247091,"Denis Shapovalov","L","CAN",19.44421629,0,"7-6(5) 3-6 7-5","R16",4,151,59,289,17,9,15,117,78,50,16,0.666666667,0.564102564,0.43442623,0.647058824,0.3125,NA,0.591129439,0.380685591,0.695383207,0.263701358,NA,0.600837289,0.391306443,0.714477097,0.27911262,NA,0,0,0,0,NA,0,0,0,0,16,10,15,122,69,47,22,0.56557377,0.56557377,0.435897436,0.6875,0.352941176,NA,0.660363325,0.338864368,0.821777205,0.183023657,NA,0.66124007,0.347339272,0.828615093,0.193947958,NA,0,0,0,0,NA,0,0,0,0,171,333,31,1295,0,0,0,0,0.466666667,0.518518519,0.545454545,0.577777778,"W",30,66,27,45,0,0,0.579850403,0.345355348,0.692040772,0.174116162,0.666666667,0.463414634,6,41,"7-6(5)","3-6","7-5","","",0.663454516,0.334587095,0.838819437,0.170661997,0.3125,0.75,9,12,0.58018962,0.348065373,0.698018648,0.187710438,0.666870206,0.359580521,0.857066789,0.20323072,0.333333333,0.916666667,6,7,2.61,1.51,0,1,0,0,0,0,3.54825462,-230,-962,0.635627285419117,0.365675027512348,0.791641362902647,0.24293557421456,0.633676589058818,0.37177116466301,0.786500871004708,0.251968617128928,0,0,0,0,0,0,0,0,0.634106108146497,0.342339384580006,0.802177524945443,0.171892627894501,0.617373966981571,0.342943316011193,0.774501123422702,0.179665514474312,0.461077844695937,0.472972973108565,0,0,0.294117647058824,0.2666666664,0.589928057751307,2.61,"W",1,"Hard",-140
"10","RUS",0,"St. Petersburg","Hard",1,0,0,"A",0,"Damir Dzumhur","R","BIH",26.32717317,"Guido Pella","L","ARG",28.33675565,1,"6-4 6-4","R16",4,77,84,143,10,0,2,56,39,25,10,0.696428571,0.625,0.457627119,0.8,0.4,NA,0.599374245,0.397508515,0.711373975,0.294015479,NA,0.605230953,0.397488686,0.724586026,0.295403401,NA,0,0,0,0,NA,0,0,0,0,10,1,5,59,39,23,9,0.661016949,0.542372881,0.375,0.6,0.2,NA,0.639472754,0.374972613,0.783168237,0.227752598,NA,0.634626466,0.365201124,0.780426957,0.213183955,NA,0,0,0,0,NA,0,0,0,0,28,1395,60,870,0,0,0,0,0.545454545,0.614285714,0.5,0.432432432,"L",99,78,70,37,0,0,0.586855718,0.388209039,0.676951318,0.275233844,0.542857143,0.512820513,35,39,"6-4","6-4","","","",0.629966602,0.382661538,0.765620903,0.26364147,0.4,0.577777778,46,37,0.595907404,0.385398673,0.697153219,0.243411744,0.62541651,0.373925851,0.768361173,0.25100686,0.357142857,0.464285714,17,15,1.68,2.22,0,1,0,0,0,1,2.00958248,59,-525,0.616667603472402,0.384845098971931,0.727051686139674,0.242515337706241,0.61487951685453,0.376328372335945,0.7254182327136,0.227330752017322,0,0,0,0,0,0,0,0,0.618720952095533,0.394692859391458,0.735569401212521,0.2802928890839,0.618724887119152,0.385556846058037,0.759420577572151,0.264730466467994,0.478260869773157,0.41313168559514,0,0,0.590909091002066,0.565217391251418,0.485773768238209,2.22,"L",0,"Hard",-32
